population_id,country,taxon,n_samples,n_locations,year_min,year_max,population_id_source,primary_population_n20,sensitivity_population_n10,sensitivity_population_n30
AOcol,Angola,coluzzii,78,0,2009,2009,PHASE2_RELEASE_POPULATION,TRUE,TRUE,TRUE
BFcol,Burkina Faso,coluzzii,75,0,2012,2012,PHASE2_RELEASE_POPULATION,TRUE,TRUE,TRUE
BFgam,Burkina Faso,gambiae,92,0,2012,2012,PHASE2_RELEASE_POPULATION,TRUE,TRUE,TRUE
CMgam,Cameroon,gambiae,297,0,2009,2009,PHASE2_RELEASE_POPULATION,TRUE,TRUE,TRUE
CIcol,Cote d'Ivoire,coluzzii,71,0,2012,2012,PHASE2_RELEASE_POPULATION,TRUE,TRUE,TRUE
GQgam,Equatorial Guinea,gambiae,9,0,2002,2002,PHASE2_RELEASE_POPULATION,FALSE,FALSE,FALSE
FRgam,France,gambiae,24,0,2011,2011,PHASE2_RELEASE_POPULATION,TRUE,TRUE,FALSE
GAgam,Gabon,gambiae,69,0,2000,2000,PHASE2_RELEASE_POPULATION,TRUE,TRUE,TRUE
GHcol,Ghana,coluzzii,55,0,2012,2012,PHASE2_RELEASE_POPULATION,TRUE,TRUE,TRUE
GHgam,Ghana,gambiae,12,0,2012,2012,PHASE2_RELEASE_POPULATION,FALSE,TRUE,FALSE
GNcol,Guinea,coluzzii,4,0,2012,2012,PHASE2_RELEASE_POPULATION,FALSE,FALSE,FALSE
GNgam,Guinea,gambiae,40,0,2012,2012,PHASE2_RELEASE_POPULATION,TRUE,TRUE,TRUE
UGgam,Uganda,gambiae,112,0,2012,2012,PHASE2_RELEASE_POPULATION,TRUE,TRUE,TRUE
