sample_id,ox_code,src_code,population,country,location,site,contributor,contact,year,m_s,sex,n_sequences,mean_coverage,ebi_sample_acc,latitude,longitude,sample_set,taxon,phase2_population,primary_taxon,year_original,year_numeric,taxon_marker_based_handoff,primary_taxon_marker_based_handoff,population_id,population_id_source,population_defined,sex_normalized,known_male_for_x_fallback
AR0001-C,AR0001-C,LUA001,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,113692568,34.63,ERS224790,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0007-C,AR0007-C,LUA007,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,99082110,31.48,ERS224256,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0008-C,AR0008-C,LUA008,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,91490260,29.21,ERS224129,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0009-C,AR0009-C,LUA009,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,105932994,33.27,ERS224325,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0010-C,AR0010-C,LUA010,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,115066732,37.74,ERS224099,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0011-C,AR0011-C,LUA011,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,105048076,31.87,ERS224318,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0012-C,AR0012-C,LUA012,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,105096046,35,ERS224230,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0013-C,AR0013-C,LUA013,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,82229076,26.03,ERS224323,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0014-C,AR0014-C,LUA014,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,104423686,32.76,ERS224282,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0015-C,AR0015-C,LUA015,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,89544974,29.3,ERS224131,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0016-C,AR0016-C,LUA016,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,82045122,25.74,ERS224127,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0017-C,AR0017-C,LUA017,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,88461946,27.97,ERS224124,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0018-C,AR0018-C,LUA018,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,39967272,12.87,ERS224234,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0019-C,AR0019-C,LUA019,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,92841496,30.47,ERS224138,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0020-C,AR0020-C,LUA020,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,89507990,27.64,ERS224267,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0021-C,AR0021-C,LUA021,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,62409564,19.44,ERS224126,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
