sample_id,contig,population_id,country,taxon
AA0040-C,2R,GHcol,Ghana,coluzzii
AA0041-C,2R,GHcol,Ghana,coluzzii
AA0042-C,2R,GHcol,Ghana,coluzzii
AA0043-C,2R,GHcol,Ghana,coluzzii
AA0044-C,2R,GHcol,Ghana,coluzzii
AA0048-C,2R,GHgam,Ghana,gambiae
AA0049-C,2R,GHcol,Ghana,coluzzii
AA0050-C,2R,GHgam,Ghana,gambiae
AA0051-C,2R,GHcol,Ghana,coluzzii
AA0052-C,2R,GHcol,Ghana,coluzzii
AA0053-C,2R,GHcol,Ghana,coluzzii
AA0054-C,2R,GHcol,Ghana,coluzzii
AA0055-C,2R,GHcol,Ghana,coluzzii
AA0056-C,2R,GHcol,Ghana,coluzzii
AA0060-C,2R,GHgam,Ghana,gambiae
AA0061-C,2R,GHgam,Ghana,gambiae
AA0063-C,2R,GHcol,Ghana,coluzzii
AA0064-C,2R,GHcol,Ghana,coluzzii
AA0066-C,2R,GHcol,Ghana,coluzzii
AA0067-C,2R,GHcol,Ghana,coluzzii
AA0068-C,2R,GHcol,Ghana,coluzzii
AA0072-C,2R,GHgam,Ghana,gambiae
AA0073-C,2R,GHcol,Ghana,coluzzii
AA0074-C,2R,GHcol,Ghana,coluzzii
AA0075-C,2R,GHcol,Ghana,coluzzii
AA0076-C,2R,GHcol,Ghana,coluzzii
AA0077-C,2R,GHcol,Ghana,coluzzii
AA0080-C,2R,GHcol,Ghana,coluzzii
AA0084-C,2R,GHgam,Ghana,gambiae
AA0085-C,2R,GHgam,Ghana,gambiae
AA0086-C,2R,GHgam,Ghana,gambiae
AA0087-C,2R,GHcol,Ghana,coluzzii
AA0088-C,2R,GHcol,Ghana,coluzzii
AA0089-C,2R,GHcol,Ghana,coluzzii
AA0090-C,2R,GHcol,Ghana,coluzzii
AA0091-C,2R,GHcol,Ghana,coluzzii
AA0096-C,2R,GHgam,Ghana,gambiae
AA0097-C,2R,GHcol,Ghana,coluzzii
AA0098-C,2R,GHcol,Ghana,coluzzii
AA0099-C,2R,GHcol,Ghana,coluzzii
AA0100-C,2R,GHcol,Ghana,coluzzii
AA0101-C,2R,GHcol,Ghana,coluzzii
AA0102-C,2R,GHcol,Ghana,coluzzii
AA0103-C,2R,GHcol,Ghana,coluzzii
AA0104-C,2R,GHcol,Ghana,coluzzii
AA0107-C,2R,GHcol,Ghana,coluzzii
AA0108-C,2R,GHgam,Ghana,gambiae
