sample_id,sample_set,country,location,year,month,latitude,longitude,sex_call,taxon,population_code,snp_genotypes_vcf,metadata_source
AB0087-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0087-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0088-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0088-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0089-Cx,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0089-Cx.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0090-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0090-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0091-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0091-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0092-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0092-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0094-Cx,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0094-Cx.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0095-Cx,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0095-Cx.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0097-Cx,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0097-Cx.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0098-Cx,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0098-Cx.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0099-Cx,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0099-Cx.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0100-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0100-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0101-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0101-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0109-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0109-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0110-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0110-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0111-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0111-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0112-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0112-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0113-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0113-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0114-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0114-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0115-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0115-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0121-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0121-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0122-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0122-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0123-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0123-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0124-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0124-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
AB0132-C,Ag3.0-WestAfrica-Caputo2024,Burkina Faso,,,,,,,coluzzii,BFcol,https://cog.sanger.ac.uk/vo_agam_output/AB0132-C.vcf.gz,Caputo2024 Communications Biology Supplementary Data 1 (Ag1000G Ag3.0 West Africa; semicolon-row first-field specimen ID + explicit population-code extraction)
