gene_id,portfolio_size,portfolio_site_ids,n_sites_callable,portfolio_span_bp,global_at_least_one_intact_fraction,population_q10_at_least_one_intact,population_breadth_ge_0_95,global_all_targets_intact_fraction,populations_assessed,multiplex_robustness_score,portfolio_rank_within_gene_size
AGAP000099,2,AGAP000099__SITE03;AGAP000099__SITE04,2,97,1,1,1,0.983021077283372,9,1,1
AGAP000099,3,AGAP000099__SITE03;AGAP000099__SITE04;AGAP000099__SITE05,3,239,1,1,1,0.978337236533958,9,1,1
AGAP000399,2,AGAP000399__SITE04;AGAP000399__SITE05,2,370,1,1,1,0.991217798594848,9,1,1
AGAP000399,3,AGAP000399__SITE03;AGAP000399__SITE04;AGAP000399__SITE05,3,448,1,1,1,0.980679156908665,9,1,1
AGAP000627,2,AGAP000627__SITE04;AGAP000627__SITE05,2,64,1,1,1,0.995901639344262,9,1,1
AGAP000627,3,AGAP000627__SITE03;AGAP000627__SITE04;AGAP000627__SITE05,3,65,1,1,1,0.995316159250585,9,1,1
AGAP000999,2,AGAP000999__SITE01;AGAP000999__SITE02,2,35,0.992388758782201,0.951410425323469,0.888888888888889,0.988875878220141,9,0.96974527175525,1
AGAP001015,2,AGAP001015__SITE03;AGAP001015__SITE04,2,343,1,1,1,0.958430913348946,9,1,1
AGAP001015,3,AGAP001015__SITE01;AGAP001015__SITE02;AGAP001015__SITE03,3,646,1,1,1,0.976580796252927,9,1,1
AGAP001099,2,AGAP001099__SITE03;AGAP001099__SITE04,2,155,1,1,1,0.998400852878465,10,1,1
AGAP001099,3,AGAP001099__SITE02;AGAP001099__SITE03;AGAP001099__SITE04,3,161,1,1,1,0.998400852878465,10,1,1
AGAP001108,2,AGAP001108__SITE01;AGAP001108__SITE02,2,56,1,1,1,0.965351812366738,10,1,1
AGAP001108,3,AGAP001108__SITE01;AGAP001108__SITE02;AGAP001108__SITE03,3,59,1,1,1,0.687633262260128,10,1,1
AGAP001135,2,AGAP001135__SITE01;AGAP001135__SITE03,2,164,1,1,1,0.979211087420043,10,1,1
AGAP001135,3,AGAP001135__SITE03;AGAP001135__SITE04;AGAP001135__SITE05,3,99,1,1,1,0.624200426439233,10,1,1
AGAP001526,2,AGAP001526__SITE03;AGAP001526__SITE04,2,231,1,1,1,0.952025586353944,10,1,1
AGAP001526,3,AGAP001526__SITE01;AGAP001526__SITE02;AGAP001526__SITE03,3,86,1,1,1,0.477078891257996,10,1,1
AGAP002004,2,AGAP002004__SITE02;AGAP002004__SITE03,2,92,1,1,1,0.979744136460554,10,1,1
AGAP002004,3,AGAP002004__SITE02;AGAP002004__SITE03;AGAP002004__SITE04,3,285,1,1,1,0.947761194029851,10,1,1
AGAP002171,2,AGAP002171__SITE01;AGAP002171__SITE02,2,231,0.993603411513859,0.980666666666666,1,0.312366737739872,10,0.990362046908315,1
AGAP002171,3,AGAP002171__SITE01;AGAP002171__SITE02;AGAP002171__SITE03,3,243,0.993603411513859,0.980666666666666,1,0.25319829424307,10,0.990362046908315,1
AGAP002300,2,AGAP002300__SITE04;AGAP002300__SITE05,2,71,1,1,1,0.988805970149254,10,1,1
AGAP002300,3,AGAP002300__SITE03;AGAP002300__SITE04;AGAP002300__SITE05,3,72,1,1,1,0.988805970149254,10,1,1
AGAP002475,2,AGAP002475__SITE01;AGAP002475__SITE05,2,460,1,1,1,0.862473347547974,10,1,1
AGAP002475,3,AGAP002475__SITE01;AGAP002475__SITE02;AGAP002475__SITE05,3,460,1,1,1,0.287313432835821,10,1,1
AGAP003594,2,AGAP003594__SITE02;AGAP003594__SITE03,2,51,1,1,1,0.963752665245203,10,1,1
AGAP003594,3,AGAP003594__SITE02;AGAP003594__SITE03;AGAP003594__SITE04,3,51,1,1,1,0.963752665245203,10,1,1
AGAP003595,2,AGAP003595__SITE03;AGAP003595__SITE04,2,78,1,1,1,0.947228144989339,10,1,1
AGAP003595,3,AGAP003595__SITE02;AGAP003595__SITE03;AGAP003595__SITE04,3,226,1,1,1,0.887526652452026,10,1,1
AGAP003769,2,AGAP003769__SITE01;AGAP003769__SITE02,2,34,1,1,1,0.952558635394456,10,1,1
AGAP003769,3,AGAP003769__SITE01;AGAP003769__SITE02;AGAP003769__SITE03,3,75,1,1,1,0.952558635394456,10,1,1
AGAP004036,2,AGAP004036__SITE04;AGAP004036__SITE05,2,83,0.999466950959488,0.997172619047619,1,0.892857142857143,10,0.998831956289979,1
AGAP004036,3,AGAP004036__SITE03;AGAP004036__SITE04;AGAP004036__SITE05,3,84,0.999466950959488,0.997172619047619,1,0.892857142857143,10,0.998831956289979,1
AGAP004038,2,AGAP004038__SITE01;AGAP004038__SITE02,2,69,1,1,1,0.888059701492537,10,1,1
AGAP004038,3,AGAP004038__SITE01;AGAP004038__SITE02;AGAP004038__SITE03,3,229,1,1,1,0.0106609808102345,10,1,1
AGAP004050,2,AGAP004050__SITE01;AGAP004050__SITE02,2,26,1,1,1,1,10,1,1
AGAP004050,3,AGAP004050__SITE02;AGAP004050__SITE03;AGAP004050__SITE04,3,219,1,1,1,0.909914712153518,10,1,1
AGAP004057,2,AGAP004057__SITE04;AGAP004057__SITE05,2,74,0.995202558635394,0.97263198757764,1,0.63592750533049,10,0.988911131454529,1
