population_site_id,gene_id,genomic_seqid,genomic_start,genomic_end,status
AGAP012461__SITE01,AGAP012461,UNKN,4150647,4150669,UNRESOLVED_CONTIG_NOT_IN_PHASE2_AR1_PHASED_PANEL
AGAP012461__SITE02,AGAP012461,UNKN,4150650,4150672,UNRESOLVED_CONTIG_NOT_IN_PHASE2_AR1_PHASED_PANEL
AGAP012461__SITE03,AGAP012461,UNKN,4151116,4151138,UNRESOLVED_CONTIG_NOT_IN_PHASE2_AR1_PHASED_PANEL
AGAP012461__SITE04,AGAP012461,UNKN,4151122,4151144,UNRESOLVED_CONTIG_NOT_IN_PHASE2_AR1_PHASED_PANEL
AGAP012461__SITE05,AGAP012461,UNKN,4151123,4151145,UNRESOLVED_CONTIG_NOT_IN_PHASE2_AR1_PHASED_PANEL
AGAP012499__SITE01,AGAP012499,UNKN,8386201,8386223,UNRESOLVED_CONTIG_NOT_IN_PHASE2_AR1_PHASED_PANEL
AGAP012499__SITE02,AGAP012499,UNKN,8386357,8386379,UNRESOLVED_CONTIG_NOT_IN_PHASE2_AR1_PHASED_PANEL
AGAP012499__SITE03,AGAP012499,UNKN,8386683,8386705,UNRESOLVED_CONTIG_NOT_IN_PHASE2_AR1_PHASED_PANEL
AGAP012499__SITE04,AGAP012499,UNKN,8386687,8386709,UNRESOLVED_CONTIG_NOT_IN_PHASE2_AR1_PHASED_PANEL
AGAP012499__SITE05,AGAP012499,UNKN,8386692,8386714,UNRESOLVED_CONTIG_NOT_IN_PHASE2_AR1_PHASED_PANEL
AGAP012519__SITE01,AGAP012519,UNKN,10718390,10718412,UNRESOLVED_CONTIG_NOT_IN_PHASE2_AR1_PHASED_PANEL
AGAP012519__SITE02,AGAP012519,UNKN,10718603,10718625,UNRESOLVED_CONTIG_NOT_IN_PHASE2_AR1_PHASED_PANEL
AGAP012519__SITE03,AGAP012519,UNKN,10718604,10718626,UNRESOLVED_CONTIG_NOT_IN_PHASE2_AR1_PHASED_PANEL
AGAP012519__SITE04,AGAP012519,UNKN,10718796,10718818,UNRESOLVED_CONTIG_NOT_IN_PHASE2_AR1_PHASED_PANEL
AGAP012519__SITE05,AGAP012519,UNKN,10719039,10719061,UNRESOLVED_CONTIG_NOT_IN_PHASE2_AR1_PHASED_PANEL
