population_site_id,primary_score,primary_class,recalculated_score,recalculated_class,abs_score_difference,class_matches
AGAP000099__SITE01,0.980944814860126,ROBUST,0.980944814860125,ROBUST,5.55111512312578e-16,TRUE
AGAP000099__SITE02,0.980183690738346,ROBUST,0.980183690738346,ROBUST,4.44089209850063e-16,TRUE
AGAP000099__SITE03,0.981816809325901,ROBUST,0.981816809325901,ROBUST,1.11022302462516e-16,TRUE
AGAP000099__SITE04,0.996391498407294,ROBUST,0.996391498407294,ROBUST,1.11022302462516e-16,TRUE
AGAP000099__SITE05,0.992134191857865,ROBUST,0.992134191857865,ROBUST,2.22044604925031e-16,TRUE
AGAP000399__SITE01,0.960547880482653,INTERMEDIATE,0.960547880482653,INTERMEDIATE,0,TRUE
AGAP000399__SITE02,0.996253415300546,ROBUST,0.996253415300546,ROBUST,3.33066907387547e-16,TRUE
AGAP000399__SITE03,0.960233534840438,INTERMEDIATE,0.960233534840439,INTERMEDIATE,6.66133814775094e-16,TRUE
AGAP000399__SITE04,0.992318989071038,ROBUST,0.992318989071038,ROBUST,1.11022302462516e-16,TRUE
AGAP000399__SITE05,0.994064036660259,ROBUST,0.994064036660259,ROBUST,0,TRUE
AGAP000627__SITE01,0.998667897794769,ROBUST,0.998667897794769,ROBUST,4.44089209850063e-16,TRUE
AGAP000627__SITE02,0.998667897794769,ROBUST,0.998667897794769,ROBUST,4.44089209850063e-16,TRUE
AGAP000627__SITE03,0.99629008103027,ROBUST,0.99629008103027,ROBUST,1.11022302462516e-16,TRUE
AGAP000627__SITE04,0.996592636932434,ROBUST,0.996592636932434,ROBUST,1.11022302462516e-16,TRUE
AGAP000627__SITE05,0.995665240685155,ROBUST,0.995665240685155,ROBUST,3.33066907387547e-16,TRUE
AGAP000999__SITE01,0.961028572085236,INTERMEDIATE,0.961028572085236,INTERMEDIATE,3.33066907387547e-16,TRUE
AGAP000999__SITE02,0.961379860141442,INTERMEDIATE,0.961379860141442,INTERMEDIATE,4.44089209850063e-16,TRUE
AGAP000999__SITE03,0.971739130434783,UNRESOLVED_ACCESSIBILITY,0.971739130434783,UNRESOLVED_ACCESSIBILITY,4.44089209850063e-16,TRUE
AGAP000999__SITE04,0.95,UNRESOLVED_ACCESSIBILITY,0.95,UNRESOLVED_ACCESSIBILITY,0,TRUE
AGAP000999__SITE05,0.95,UNRESOLVED_ACCESSIBILITY,0.95,UNRESOLVED_ACCESSIBILITY,0,TRUE
AGAP001015__SITE01,0.940365299545627,INTERMEDIATE,0.940365299545628,INTERMEDIATE,6.66133814775094e-16,TRUE
AGAP001015__SITE02,0.994936230731588,ROBUST,0.994936230731588,ROBUST,0,TRUE
AGAP001015__SITE03,0.986525095626568,ROBUST,0.986525095626568,ROBUST,1.11022302462516e-16,TRUE
AGAP001015__SITE04,0.869320175877553,INTERMEDIATE,0.869320175877553,INTERMEDIATE,1.11022302462516e-16,TRUE
AGAP001015__SITE05,0.998530201014832,ROBUST,0.998530201014832,ROBUST,0,TRUE
AGAP001099__SITE01,0.995138786063071,ROBUST,0.995138786063071,ROBUST,2.22044604925031e-16,TRUE
AGAP001099__SITE02,0.997925077818579,ROBUST,0.997925077818579,ROBUST,1.11022302462516e-16,TRUE
AGAP001099__SITE03,0.99797838272263,ROBUST,0.99797838272263,ROBUST,3.33066907387547e-16,TRUE
AGAP001099__SITE04,1,ROBUST,1,ROBUST,0,TRUE
AGAP001099__SITE05,0.733052016910751,CONCERN,0.733052016910752,CONCERN,5.55111512312578e-16,TRUE
AGAP001108__SITE01,0.999325223330198,ROBUST,0.999325223330198,ROBUST,2.22044604925031e-16,TRUE
AGAP001108__SITE02,0.934725333918431,INTERMEDIATE,0.934725333918431,INTERMEDIATE,3.33066907387547e-16,TRUE
AGAP001108__SITE03,0.572900556740109,CONCERN,0.572900556740109,CONCERN,0,TRUE
AGAP001108__SITE04,0.600779021558872,CONCERN,0.600779021558872,CONCERN,3.33066907387547e-16,TRUE
AGAP001108__SITE05,0.993824914777962,ROBUST,0.993824914777962,ROBUST,1.11022302462516e-16,TRUE
AGAP001135__SITE01,0.995394831404608,ROBUST,0.995394831404608,ROBUST,4.44089209850063e-16,TRUE
AGAP001135__SITE02,0.680166428765553,CONCERN,0.680166428765553,CONCERN,1.11022302462516e-16,TRUE
