population_site_id,gene_id,min_population_n,populations_assessed_sensitivity,population_q10_sensitivity,population_breadth_sensitivity,max_alt_af_sensitivity,site_score_sensitivity,class_sensitivity
AGAP007999__SITE01,AGAP007999,10,11,0.791304347826087,0.727272727272727,0.270833333333333,0.864082063566976,INTERMEDIATE
AGAP007999__SITE02,AGAP007999,10,11,0.98865039281706,1,0.00892857142857143,0.993977630187207,ROBUST
AGAP007999__SITE03,AGAP007999,10,11,0.989548260381594,1,0.00892857142857143,0.994441969146571,ROBUST
AGAP007999__SITE04,AGAP007999,10,11,0.400854700854701,0,0.708333333333333,0.493319574289724,CONCERN
AGAP007999__SITE05,AGAP007999,10,11,0.942828282828283,0.909090909090909,0.0416666666666667,0.965558624625789,ROBUST
AGAP005917__SITE01,AGAP005917,10,11,0.976388888888889,1,0.02,0.990044983416252,ROBUST
AGAP005917__SITE02,AGAP005917,10,11,0.998204264870932,1,0.00336700336700337,0.998841231552675,ROBUST
AGAP005917__SITE03,AGAP005917,10,11,0,0,1,0.157222814498934,CONCERN
AGAP005917__SITE04,AGAP005917,10,11,0,0,1,0.155303837953092,CONCERN
AGAP005917__SITE05,AGAP005917,10,11,0.973126823793491,1,0.0202020202020202,0.985664489002797,ROBUST
AGAP011966__SITE01,AGAP011966,10,11,0.965144927536232,1,0.025,0.984388577299836,ROBUST
AGAP011966__SITE02,AGAP011966,10,11,0.299752454118651,0,0.709090909090909,0.406747572727182,CONCERN
AGAP011966__SITE03,AGAP011966,10,11,0.299752454118651,0,0.709090909090909,0.408133500232512,CONCERN
AGAP011966__SITE04,AGAP011966,10,11,0.986634920634921,1,0.0133333333333333,0.992846718787018,ROBUST
AGAP011966__SITE05,AGAP011966,10,11,0.00933333333333333,0,1,0.0770668088130775,CONCERN
AGAP004036__SITE01,AGAP004036,10,11,0.664190821256039,0.181818181818182,0.333333333333333,0.679949785820568,CONCERN
AGAP004036__SITE02,AGAP004036,10,11,0.25503530286139,0,0.756410256410256,0.359333151886689,CONCERN
AGAP004036__SITE03,AGAP004036,10,11,0.904166666666667,0.818181818181818,0.125,0.931684717645539,INTERMEDIATE
AGAP004036__SITE04,AGAP004036,10,11,0.904166666666667,0.818181818181818,0.125,0.931498150481359,INTERMEDIATE
AGAP004036__SITE05,AGAP004036,10,11,0.841551627384961,0.545454545454545,0.1125,0.84793370060472,INTERMEDIATE
AGAP004825__SITE01,AGAP004825,10,11,1,1,0,0.95,UNRESOLVED_ACCESSIBILITY
AGAP004825__SITE02,AGAP004825,10,11,0.468115942028985,0.454545454545455,0.5625,0.688342466802071,CONCERN
AGAP004825__SITE03,AGAP004825,10,11,0.736036695456985,0.454545454545455,0.276094276094276,0.77039712946862,INTERMEDIATE
AGAP004825__SITE04,AGAP004825,10,11,0.91304347826087,0.909090909090909,0.125,0.94490169142992,INTERMEDIATE
AGAP004825__SITE05,AGAP004825,10,11,0.973787878787879,1,0.0272727272727273,0.989120549848162,ROBUST
AGAP003595__SITE01,AGAP003595,10,11,0.962222222222222,1,0.0416666666666667,0.980738569059465,ROBUST
AGAP003595__SITE02,AGAP003595,10,11,0.753271173271173,0.636363636363636,0.391025641025641,0.822761459104743,INTERMEDIATE
AGAP003595__SITE03,AGAP003595,10,11,0.900657276995305,0.545454545454545,0.1,0.880937724947605,INTERMEDIATE
AGAP003595__SITE04,AGAP003595,10,11,0.981280193236715,1,0.0208333333333333,0.990704732033415,ROBUST
AGAP003595__SITE05,AGAP003595,10,11,0.961696400625978,0.909090909090909,0.02,0.972095838865547,ROBUST
AGAP007413__SITE01,AGAP007413,10,11,0.800297287253809,0.272727272727273,0.217391304347826,0.790086499771769,INTERMEDIATE
AGAP007413__SITE02,AGAP007413,10,11,0.892584567232455,0.636363636363636,0.0666666666666667,0.895995854284692,INTERMEDIATE
AGAP007413__SITE03,AGAP007413,10,11,0.982694334650857,1,0.0181818181818182,0.990657107601462,ROBUST
AGAP007413__SITE04,AGAP007413,10,11,0.942948717948718,0.909090909090909,0.0705128205128205,0.96145145277608,INTERMEDIATE
AGAP007413__SITE05,AGAP007413,10,11,0.186111111111111,0,0.833333333333333,0.36479359156598,CONCERN
AGAP009600__SITE01,AGAP009600,10,11,0.781568190263843,0.727272727272727,0.346153846153846,0.851957124280291,INTERMEDIATE
AGAP009600__SITE02,AGAP009600,10,11,0.988193236714976,1,0.016304347826087,0.99448503857524,ROBUST
AGAP009600__SITE03,AGAP009600,10,11,0.82548309178744,0.454545454545455,0.208333333333333,0.826107317496837,INTERMEDIATE
AGAP009600__SITE04,AGAP009600,10,11,0.765821256038647,0.454545454545455,0.208333333333333,0.805674800990343,INTERMEDIATE
AGAP009600__SITE05,AGAP009600,10,11,0.940338164251208,0.909090909090909,0.0833333333333333,0.958823799316986,INTERMEDIATE
AGAP005763__SITE01,AGAP005763,10,11,0.983852813852813,1,0.0133928571428571,0.992465069134845,ROBUST
AGAP005763__SITE02,AGAP005763,10,11,0.00624999999999998,0,1,0.161557169509595,CONCERN
AGAP005763__SITE03,AGAP005763,10,11,0.00624999999999998,0,1,0.168913246268657,CONCERN
AGAP005763__SITE04,AGAP005763,10,11,0.827615283267457,0.545454545454545,0.2,0.847773175342935,INTERMEDIATE
AGAP005763__SITE05,AGAP005763,10,11,0.832463768115942,0.454545454545455,0.2,0.834149572577542,INTERMEDIATE
AGAP011204__SITE01,AGAP011204,10,11,0.829589371980676,0.272727272727273,0.202898550724638,0.801470736614312,INTERMEDIATE
AGAP011204__SITE02,AGAP011204,10,11,0.83762077294686,0.181818181818182,0.202898550724638,0.787097020660859,INTERMEDIATE
AGAP011204__SITE03,AGAP011204,10,11,0.445772946859903,0,0.398550724637681,0.567616948899395,CONCERN
AGAP011204__SITE04,AGAP011204,10,11,0.56280193236715,0.181818181818182,0.398550724637681,0.645842018497762,CONCERN
AGAP011204__SITE05,AGAP011204,10,11,0.802415458937198,0.181818181818182,0.145833333333333,0.784748482554291,INTERMEDIATE
AGAP009921__SITE01,AGAP009921,10,11,0.975643192488263,1,0.028169014084507,0.989228225071824,ROBUST
AGAP009921__SITE02,AGAP009921,10,11,0.990046948356808,1,0.0125,0.995835297856793,ROBUST
AGAP009921__SITE03,AGAP009921,10,11,0.993908212560386,1,0.00666666666666667,0.997250684980892,ROBUST
AGAP009921__SITE04,AGAP009921,10,11,0.811498079385404,0.727272727272727,0.236363636363636,0.876015632465076,INTERMEDIATE
AGAP009921__SITE05,AGAP009921,10,11,0.932744344857021,0.818181818181818,0.0633802816901408,0.945097718832215,INTERMEDIATE
AGAP002300__SITE01,AGAP002300,10,11,0.834420289855073,0.545454545454545,0.201086956521739,0.842222874194808,INTERMEDIATE
AGAP002300__SITE02,AGAP002300,10,11,0.0698067632850241,0,0.942028985507246,0.269917235767333,CONCERN
AGAP002300__SITE03,AGAP002300,10,11,0.974103558549364,1,0.036231884057971,0.987104193768857,ROBUST
AGAP002300__SITE04,AGAP002300,10,11,0.974103558549364,1,0.036231884057971,0.986624449632397,ROBUST
AGAP002300__SITE05,AGAP002300,10,11,0.990341880341881,1,0.0125,0.995535896524703,ROBUST
AGAP004038__SITE01,AGAP004038,10,11,0.979752016371734,1,0.0256410256410256,0.990348315174887,ROBUST
AGAP004038__SITE02,AGAP004038,10,11,0.635042735042735,0.454545454545455,0.538461538461538,0.735782915260527,CONCERN
AGAP004038__SITE03,AGAP004038,10,11,0,0,1,0.153731343283582,CONCERN
AGAP004038__SITE04,AGAP004038,10,11,1,1,0,0.95,UNRESOLVED_ACCESSIBILITY
AGAP004038__SITE05,AGAP004038,10,11,0.635748792270532,0.181818181818182,0.333333333333333,0.67870281801982,CONCERN
AGAP003769__SITE01,AGAP003769,10,11,0.922141414141414,0.636363636363636,0.0666666666666667,0.909994874114277,INTERMEDIATE
AGAP003769__SITE02,AGAP003769,10,11,0.894424242424243,0.818181818181818,0.136363636363636,0.925367545389934,INTERMEDIATE
AGAP003769__SITE03,AGAP003769,10,11,0.938666666666667,0.818181818181818,0.0625,0.946986156877948,INTERMEDIATE
AGAP003769__SITE04,AGAP003769,10,11,0.781920614596671,0.363636363636364,0.17948717948718,0.799107807090254,INTERMEDIATE
AGAP003769__SITE05,AGAP003769,10,11,0.858583013230901,0.636363636363636,0.136363636363636,0.886202741096056,INTERMEDIATE
AGAP002004__SITE01,AGAP002004,10,11,0.855378648703817,0.636363636363636,0.108695652173913,0.885423245824622,INTERMEDIATE
