gene_id,10,20,30
AGAP000099,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP000399,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP000627,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP000999,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE
AGAP001015,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP001099,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP001108,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP001135,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP001526,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP002004,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP002171,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP002300,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP002475,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP003594,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP003595,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP003769,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE
AGAP004036,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE
AGAP004038,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP004050,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP004057,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE
AGAP004078,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE
AGAP004239,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE
AGAP004467,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE
AGAP004502,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP004521,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP004685,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP004699,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP004729,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP004739,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP004825,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP004852,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP004957,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP004962,INTERMEDIATE,INTERMEDIATE,INTERMEDIATE
AGAP005062,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP005127,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP005130,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP005321,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP005406,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE
AGAP005763,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP005871,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP005874,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP005917,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP005920,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP005958,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP005959,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP006098,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP006233,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE
AGAP006241,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP006766,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP006935,CONCERN,CONCERN,CONCERN
AGAP006939,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE,HIGHLY_ROBUST
AGAP006989,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP007031,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP007063,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE
AGAP007122,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP007217,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP007280,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP007333,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP007365,UNRESOLVED,UNRESOLVED,UNRESOLVED
AGAP007413,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP007570,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE
AGAP007729,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP007775,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE
AGAP007855,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP007896,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE
AGAP007938,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP007965,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP007999,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP008015,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP008118,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP008191,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP008381,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE,MULTIPLEX_RESCUABLE
AGAP008578,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP009048,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP009091,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
AGAP009232,HIGHLY_ROBUST,HIGHLY_ROBUST,HIGHLY_ROBUST
