gene_id,portfolio_size,portfolio_site_ids,n_sites_callable,portfolio_span_bp,global_at_least_one_intact_fraction,population_q10_at_least_one_intact,population_breadth_ge_0_95,global_all_targets_intact_fraction,populations_assessed,multiplex_robustness_score,portfolio_rank_within_gene_size
AGAP000099,2,AGAP000099__SITE03;AGAP000099__SITE04,2,97,1,1,1,0.983021077283372,9,1,1
AGAP000099,2,AGAP000099__SITE04;AGAP000099__SITE05,2,165,1,1,1,0.992388758782201,9,1,2
AGAP000099,2,AGAP000099__SITE03;AGAP000099__SITE05,2,239,1,1,1,0.981264637002342,9,1,3
AGAP000099,2,AGAP000099__SITE02;AGAP000099__SITE03,2,316,1,1,1,0.968969555035129,9,1,4
AGAP000099,2,AGAP000099__SITE01;AGAP000099__SITE03,2,321,1,1,1,0.968969555035129,9,1,5
AGAP000099,2,AGAP000099__SITE02;AGAP000099__SITE04,2,390,1,1,1,0.980093676814988,9,1,6
AGAP000099,2,AGAP000099__SITE01;AGAP000099__SITE04,2,395,1,1,1,0.980093676814988,9,1,7
AGAP000099,2,AGAP000099__SITE02;AGAP000099__SITE05,2,532,1,1,1,0.978337236533958,9,1,8
AGAP000099,2,AGAP000099__SITE01;AGAP000099__SITE05,2,537,1,1,1,0.978337236533958,9,1,9
AGAP000099,2,AGAP000099__SITE01;AGAP000099__SITE02,2,28,0.983021077283372,0.962549751243781,1,0.983021077283372,9,0.978577571743158,10
AGAP000099,3,AGAP000099__SITE03;AGAP000099__SITE04;AGAP000099__SITE05,3,239,1,1,1,0.978337236533958,9,1,1
AGAP000099,3,AGAP000099__SITE01;AGAP000099__SITE02;AGAP000099__SITE03,3,321,1,1,1,0.968969555035129,9,1,2
AGAP000099,3,AGAP000099__SITE02;AGAP000099__SITE03;AGAP000099__SITE04,3,390,1,1,1,0.966042154566745,9,1,3
AGAP000099,3,AGAP000099__SITE01;AGAP000099__SITE02;AGAP000099__SITE04,3,395,1,1,1,0.980093676814988,9,1,4
AGAP000099,3,AGAP000099__SITE01;AGAP000099__SITE03;AGAP000099__SITE04,3,395,1,1,1,0.966042154566745,9,1,5
AGAP000099,3,AGAP000099__SITE02;AGAP000099__SITE03;AGAP000099__SITE05,3,532,1,1,1,0.964285714285714,9,1,6
AGAP000099,3,AGAP000099__SITE02;AGAP000099__SITE04;AGAP000099__SITE05,3,532,1,1,1,0.975409836065574,9,1,7
AGAP000099,3,AGAP000099__SITE01;AGAP000099__SITE02;AGAP000099__SITE05,3,537,1,1,1,0.978337236533958,9,1,8
AGAP000099,3,AGAP000099__SITE01;AGAP000099__SITE03;AGAP000099__SITE05,3,537,1,1,1,0.964285714285714,9,1,9
AGAP000099,3,AGAP000099__SITE01;AGAP000099__SITE04;AGAP000099__SITE05,3,537,1,1,1,0.975409836065574,9,1,10
AGAP000399,2,AGAP000399__SITE04;AGAP000399__SITE05,2,370,1,1,1,0.991217798594848,9,1,1
AGAP000399,2,AGAP000399__SITE03;AGAP000399__SITE05,2,448,1,1,1,0.984777517564403,9,1,2
AGAP000399,2,AGAP000399__SITE02;AGAP000399__SITE03,2,656,1,1,1,0.988290398126464,9,1,3
AGAP000399,2,AGAP000399__SITE02;AGAP000399__SITE04,2,734,1,1,1,0.994730679156909,9,1,4
AGAP000399,2,AGAP000399__SITE02;AGAP000399__SITE05,2,1081,1,1,1,0.995316159250585,9,1,5
AGAP000399,2,AGAP000399__SITE01;AGAP000399__SITE02,2,7465,1,1,1,0.986533957845433,9,1,6
AGAP000399,2,AGAP000399__SITE01;AGAP000399__SITE03,2,8098,1,1,1,0.975995316159251,9,1,7
AGAP000399,2,AGAP000399__SITE01;AGAP000399__SITE04,2,8176,1,1,1,0.982435597189695,9,1,8
AGAP000399,2,AGAP000399__SITE01;AGAP000399__SITE05,2,8523,1,1,1,0.983021077283372,9,1,9
AGAP000399,2,AGAP000399__SITE03;AGAP000399__SITE04,2,101,0.999414519906323,0.998550724637681,1,0.984777517564403,9,0.999213929335098,10
AGAP000399,3,AGAP000399__SITE03;AGAP000399__SITE04;AGAP000399__SITE05,3,448,1,1,1,0.980679156908665,9,1,1
AGAP000399,3,AGAP000399__SITE02;AGAP000399__SITE03;AGAP000399__SITE04,3,734,1,1,1,0.984192037470726,9,1,2
AGAP000399,3,AGAP000399__SITE02;AGAP000399__SITE03;AGAP000399__SITE05,3,1081,1,1,1,0.984192037470726,9,1,3
AGAP000399,3,AGAP000399__SITE02;AGAP000399__SITE04;AGAP000399__SITE05,3,1081,1,1,1,0.990632318501171,9,1,4
AGAP000399,3,AGAP000399__SITE01;AGAP000399__SITE02;AGAP000399__SITE03,3,8098,1,1,1,0.975409836065574,9,1,5
AGAP000399,3,AGAP000399__SITE01;AGAP000399__SITE02;AGAP000399__SITE04,3,8176,1,1,1,0.981850117096019,9,1,6
AGAP000399,3,AGAP000399__SITE01;AGAP000399__SITE03;AGAP000399__SITE04,3,8176,1,1,1,0.971896955503513,9,1,7
AGAP000399,3,AGAP000399__SITE01;AGAP000399__SITE02;AGAP000399__SITE05,3,8523,1,1,1,0.982435597189695,9,1,8
AGAP000399,3,AGAP000399__SITE01;AGAP000399__SITE03;AGAP000399__SITE05,3,8523,1,1,1,0.971896955503513,9,1,9
AGAP000399,3,AGAP000399__SITE01;AGAP000399__SITE04;AGAP000399__SITE05,3,8523,1,1,1,0.978337236533958,9,1,10
AGAP000627,2,AGAP000627__SITE04;AGAP000627__SITE05,2,64,1,1,1,0.995901639344262,9,1,1
AGAP000627,2,AGAP000627__SITE03;AGAP000627__SITE05,2,65,1,1,1,0.995316159250585,9,1,2
AGAP000627,2,AGAP000627__SITE02;AGAP000627__SITE05,2,68,1,1,1,0.997072599531616,9,1,3
AGAP000627,2,AGAP000627__SITE01;AGAP000627__SITE05,2,70,1,1,1,0.997072599531616,9,1,4
AGAP000627,2,AGAP000627__SITE02;AGAP000627__SITE04,2,27,0.999414519906323,0.998550724637681,1,0.997072599531616,9,0.999213929335098,5
AGAP000627,2,AGAP000627__SITE01;AGAP000627__SITE04,2,29,0.999414519906323,0.998550724637681,1,0.997072599531616,9,0.999213929335098,6
AGAP000627,2,AGAP000627__SITE01;AGAP000627__SITE02,2,25,0.998829039812646,0.997101449275362,1,0.998829039812646,9,0.998427858670196,7
AGAP000627,2,AGAP000627__SITE02;AGAP000627__SITE03,2,26,0.998829039812646,0.997101449275362,1,0.997072599531616,9,0.998427858670196,8
AGAP000627,2,AGAP000627__SITE01;AGAP000627__SITE03,2,28,0.998829039812646,0.997101449275362,1,0.997072599531616,9,0.998427858670196,9
AGAP000627,2,AGAP000627__SITE03;AGAP000627__SITE04,2,24,0.997658079625293,0.993336886993603,1,0.997072599531616,9,0.996595913873257,10
AGAP000627,3,AGAP000627__SITE03;AGAP000627__SITE04;AGAP000627__SITE05,3,65,1,1,1,0.995316159250585,9,1,1
AGAP000627,3,AGAP000627__SITE02;AGAP000627__SITE03;AGAP000627__SITE05,3,68,1,1,1,0.995316159250585,9,1,2
AGAP000627,3,AGAP000627__SITE02;AGAP000627__SITE04;AGAP000627__SITE05,3,68,1,1,1,0.995316159250585,9,1,3
AGAP000627,3,AGAP000627__SITE01;AGAP000627__SITE02;AGAP000627__SITE05,3,70,1,1,1,0.997072599531616,9,1,4
AGAP000627,3,AGAP000627__SITE01;AGAP000627__SITE03;AGAP000627__SITE05,3,70,1,1,1,0.995316159250585,9,1,5
AGAP000627,3,AGAP000627__SITE01;AGAP000627__SITE04;AGAP000627__SITE05,3,70,1,1,1,0.995316159250585,9,1,6
AGAP000627,3,AGAP000627__SITE02;AGAP000627__SITE03;AGAP000627__SITE04,3,27,0.999414519906323,0.998550724637681,1,0.997072599531616,9,0.999213929335098,7
AGAP000627,3,AGAP000627__SITE01;AGAP000627__SITE02;AGAP000627__SITE04,3,29,0.999414519906323,0.998550724637681,1,0.997072599531616,9,0.999213929335098,8
AGAP000627,3,AGAP000627__SITE01;AGAP000627__SITE03;AGAP000627__SITE04,3,29,0.999414519906323,0.998550724637681,1,0.997072599531616,9,0.999213929335098,9
AGAP000627,3,AGAP000627__SITE01;AGAP000627__SITE02;AGAP000627__SITE03,3,28,0.998829039812646,0.997101449275362,1,0.997072599531616,9,0.998427858670196,10
AGAP000999,2,AGAP000999__SITE01;AGAP000999__SITE02,2,35,0.992388758782201,0.951410425323469,0.888888888888889,0.988875878220141,9,0.96974527175525,1
AGAP001015,2,AGAP001015__SITE03;AGAP001015__SITE04,2,343,1,1,1,0.958430913348946,9,1,1
AGAP001015,2,AGAP001015__SITE04;AGAP001015__SITE05,2,579,1,1,1,0.964871194379391,9,1,2
AGAP001015,2,AGAP001015__SITE02;AGAP001015__SITE03,2,638,1,1,1,0.990046838407494,9,1,3
AGAP001015,2,AGAP001015__SITE01;AGAP001015__SITE03,2,646,1,1,1,0.978922716627635,9,1,4
AGAP001015,2,AGAP001015__SITE03;AGAP001015__SITE05,2,899,1,1,1,0.992388758782201,9,1,5
AGAP001015,2,AGAP001015__SITE02;AGAP001015__SITE04,2,958,1,1,1,0.962529274004684,9,1,6
AGAP001015,2,AGAP001015__SITE02;AGAP001015__SITE05,2,1514,1,1,1,0.996487119437939,9,1,7
