population_id,gene_id,portfolio_size,portfolio_site_ids,at_least_one_intact_fraction,all_targets_intact_fraction,n_haplotypes_total,n_haplotypes_callable_atleast1,n_haplotypes_callable_all,n_samples,primary_population_n20,sensitivity_population_n10,sensitivity_population_n30
AOcol,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE02,1,0.987179487179487,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE02,1,0.986666666666667,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE02,1,0.967391304347826,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE02,1,0.95959595959596,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE02,1,0.992957746478873,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE02,1,0.729166666666667,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE02,1,0.86231884057971,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE02,1,0.963636363636364,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE02,1,1,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE02,1,0.9625,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE02,1,0.90625,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE03,1,0.987179487179487,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE03,1,0.986666666666667,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE03,1,0.967391304347826,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE03,1,0.961279461279461,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE03,1,0.992957746478873,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE03,1,0.729166666666667,48,48,48,24,TRUE,TRUE,FALSE
GAgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE03,1,0.86231884057971,138,138,138,69,TRUE,TRUE,TRUE
GHcol,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE03,1,0.963636363636364,110,110,110,55,TRUE,TRUE,TRUE
GHgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE03,1,1,24,24,24,12,FALSE,TRUE,FALSE
GNgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE03,1,0.9625,80,80,80,40,TRUE,TRUE,TRUE
UGgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE03,1,0.90625,224,224,224,112,TRUE,TRUE,TRUE
AOcol,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE04,0.987179487179487,0.525641025641026,156,156,156,78,TRUE,TRUE,TRUE
BFcol,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE04,0.993333333333333,0.713333333333333,150,150,150,75,TRUE,TRUE,TRUE
BFgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE04,0.989130434782609,0.532608695652174,184,184,184,92,TRUE,TRUE,TRUE
CMgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE04,0.991582491582492,0.580808080808081,594,594,594,297,TRUE,TRUE,TRUE
CIcol,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE04,1,0.725352112676056,142,142,142,71,TRUE,TRUE,TRUE
FRgam,AGAP007999,2,AGAP007999__SITE01;AGAP007999__SITE04,1,0.0208333333333333,48,48,48,24,TRUE,TRUE,FALSE
