gene_id,primary_gene_score,primary_class,primary_rank,recalculated_gene_score,recalculated_class,recalculated_rank,abs_score_difference,class_matches,rank_matches
AGAP000099,0.998015324124012,HIGHLY_ROBUST,38,0.998015324124012,HIGHLY_ROBUST,38,3.33066907387547e-16,TRUE,TRUE
AGAP000399,0.9979393784153,HIGHLY_ROBUST,58,0.9979393784153,HIGHLY_ROBUST,58,4.44089209850063e-16,TRUE,TRUE
AGAP000627,0.999267343787123,HIGHLY_ROBUST,64,0.999267343787123,HIGHLY_ROBUST,64,2.22044604925031e-16,TRUE,TRUE
AGAP000999,0.96433235835808,MULTIPLEX_RESCUABLE,90,0.96433235835808,MULTIPLEX_RESCUABLE,90,3.33066907387547e-16,TRUE,TRUE
AGAP001015,0.999191610558158,HIGHLY_ROBUST,24,0.999191610558158,HIGHLY_ROBUST,24,3.33066907387547e-16,TRUE,TRUE
AGAP001099,1,HIGHLY_ROBUST,17,1,HIGHLY_ROBUST,17,0,TRUE,TRUE
AGAP001108,0.999628872831609,HIGHLY_ROBUST,75,0.999628872831609,HIGHLY_ROBUST,75,1.11022302462516e-16,TRUE,TRUE
AGAP001135,0.997467157272535,HIGHLY_ROBUST,21,0.997467157272534,HIGHLY_ROBUST,21,7.7715611723761e-16,TRUE,TRUE
AGAP001526,0.990784478498209,HIGHLY_ROBUST,57,0.990784478498209,HIGHLY_ROBUST,57,4.44089209850063e-16,TRUE,TRUE
AGAP002004,0.997112238485814,HIGHLY_ROBUST,12,0.997112238485814,HIGHLY_ROBUST,12,1.11022302462516e-16,TRUE,TRUE
AGAP002171,0.989811976057214,HIGHLY_ROBUST,49,0.989811976057214,HIGHLY_ROBUST,49,2.22044604925031e-16,TRUE,TRUE
AGAP002300,0.997461009114227,HIGHLY_ROBUST,10,0.997461009114227,HIGHLY_ROBUST,10,4.44089209850063e-16,TRUE,TRUE
AGAP002475,0.99465849598163,HIGHLY_ROBUST,56,0.99465849598163,HIGHLY_ROBUST,56,2.22044604925031e-16,TRUE,TRUE
AGAP003594,0.995298004027482,HIGHLY_ROBUST,62,0.995298004027482,HIGHLY_ROBUST,62,3.33066907387547e-16,TRUE,TRUE
AGAP003595,0.994825329067653,HIGHLY_ROBUST,5,0.994825329067653,HIGHLY_ROBUST,5,5.55111512312578e-16,TRUE,TRUE
AGAP003769,0.969308011282871,MULTIPLEX_RESCUABLE,85,0.969308011282871,MULTIPLEX_RESCUABLE,85,2.22044604925031e-16,TRUE,TRUE
AGAP004036,0.978178828296406,MULTIPLEX_RESCUABLE,83,0.978178828296406,MULTIPLEX_RESCUABLE,83,2.22044604925031e-16,TRUE,TRUE
AGAP004038,0.994532671215454,HIGHLY_ROBUST,11,0.994532671215454,HIGHLY_ROBUST,11,4.44089209850063e-16,TRUE,TRUE
AGAP004050,1,HIGHLY_ROBUST,81,1,HIGHLY_ROBUST,81,0,TRUE,TRUE
