gene_id,portfolio_size,portfolio_site_ids,global_at_least_one_intact_fraction,global_all_targets_intact_fraction,portfolio_span_bp,q10,breadth,n_pop,portfolio_score_sensitivity,rank_sensitivity,min_population_n
AGAP000099,2,AGAP000099__SITE03;AGAP000099__SITE04,1,0.983021077283372,97,1,1,11,1,1,10
AGAP000099,2,AGAP000099__SITE04;AGAP000099__SITE05,1,0.992388758782201,165,1,1,11,1,2,10
AGAP000099,2,AGAP000099__SITE03;AGAP000099__SITE05,1,0.981264637002342,239,1,1,11,1,3,10
AGAP000099,2,AGAP000099__SITE02;AGAP000099__SITE03,1,0.968969555035129,316,1,1,11,1,4,10
AGAP000099,2,AGAP000099__SITE01;AGAP000099__SITE03,1,0.968969555035129,321,1,1,11,1,5,10
AGAP000099,2,AGAP000099__SITE02;AGAP000099__SITE04,1,0.980093676814988,390,1,1,11,1,6,10
AGAP000099,2,AGAP000099__SITE01;AGAP000099__SITE04,1,0.980093676814988,395,1,1,11,1,7,10
AGAP000099,2,AGAP000099__SITE02;AGAP000099__SITE05,1,0.978337236533958,532,1,1,11,1,8,10
AGAP000099,2,AGAP000099__SITE01;AGAP000099__SITE05,1,0.978337236533958,537,1,1,11,1,9,10
AGAP000099,2,AGAP000099__SITE01;AGAP000099__SITE02,0.983021077283372,0.983021077283372,28,0.962587064676617,1,11,0.978588765773008,10,10
AGAP000099,3,AGAP000099__SITE03;AGAP000099__SITE04;AGAP000099__SITE05,1,0.978337236533958,239,1,1,11,1,1,10
AGAP000099,3,AGAP000099__SITE01;AGAP000099__SITE02;AGAP000099__SITE03,1,0.968969555035129,321,1,1,11,1,2,10
AGAP000099,3,AGAP000099__SITE02;AGAP000099__SITE03;AGAP000099__SITE04,1,0.966042154566745,390,1,1,11,1,3,10
AGAP000099,3,AGAP000099__SITE01;AGAP000099__SITE02;AGAP000099__SITE04,1,0.980093676814988,395,1,1,11,1,4,10
AGAP000099,3,AGAP000099__SITE01;AGAP000099__SITE03;AGAP000099__SITE04,1,0.966042154566745,395,1,1,11,1,5,10
AGAP000099,3,AGAP000099__SITE02;AGAP000099__SITE03;AGAP000099__SITE05,1,0.964285714285714,532,1,1,11,1,6,10
AGAP000099,3,AGAP000099__SITE02;AGAP000099__SITE04;AGAP000099__SITE05,1,0.975409836065574,532,1,1,11,1,7,10
AGAP000099,3,AGAP000099__SITE01;AGAP000099__SITE02;AGAP000099__SITE05,1,0.978337236533958,537,1,1,11,1,8,10
AGAP000099,3,AGAP000099__SITE01;AGAP000099__SITE03;AGAP000099__SITE05,1,0.964285714285714,537,1,1,11,1,9,10
AGAP000099,3,AGAP000099__SITE01;AGAP000099__SITE04;AGAP000099__SITE05,1,0.975409836065574,537,1,1,11,1,10,10
AGAP000399,2,AGAP000399__SITE04;AGAP000399__SITE05,1,0.991217798594848,370,1,1,11,1,1,10
AGAP000399,2,AGAP000399__SITE03;AGAP000399__SITE05,1,0.984777517564403,448,1,1,11,1,2,10
AGAP000399,2,AGAP000399__SITE02;AGAP000399__SITE03,1,0.988290398126464,656,1,1,11,1,3,10
AGAP000399,2,AGAP000399__SITE02;AGAP000399__SITE04,1,0.994730679156909,734,1,1,11,1,4,10
AGAP000399,2,AGAP000399__SITE02;AGAP000399__SITE05,1,0.995316159250585,1081,1,1,11,1,5,10
AGAP000399,2,AGAP000399__SITE01;AGAP000399__SITE02,1,0.986533957845433,7465,1,1,11,1,6,10
AGAP000399,2,AGAP000399__SITE01;AGAP000399__SITE03,1,0.975995316159251,8098,1,1,11,1,7,10
AGAP000399,2,AGAP000399__SITE01;AGAP000399__SITE04,1,0.982435597189695,8176,1,1,11,1,8,10
AGAP000399,2,AGAP000399__SITE01;AGAP000399__SITE05,1,0.983021077283372,8523,1,1,11,1,9,10
AGAP000399,2,AGAP000399__SITE03;AGAP000399__SITE04,0.999414519906323,0.984777517564403,101,0.998945981554677,1,11,0.999332506410197,10,10
AGAP000399,3,AGAP000399__SITE03;AGAP000399__SITE04;AGAP000399__SITE05,1,0.980679156908665,448,1,1,11,1,1,10
AGAP000399,3,AGAP000399__SITE02;AGAP000399__SITE03;AGAP000399__SITE04,1,0.984192037470726,734,1,1,11,1,2,10
AGAP000399,3,AGAP000399__SITE02;AGAP000399__SITE03;AGAP000399__SITE05,1,0.984192037470726,1081,1,1,11,1,3,10
AGAP000399,3,AGAP000399__SITE02;AGAP000399__SITE04;AGAP000399__SITE05,1,0.990632318501171,1081,1,1,11,1,4,10
AGAP000399,3,AGAP000399__SITE01;AGAP000399__SITE02;AGAP000399__SITE03,1,0.975409836065574,8098,1,1,11,1,5,10
AGAP000399,3,AGAP000399__SITE01;AGAP000399__SITE02;AGAP000399__SITE04,1,0.981850117096019,8176,1,1,11,1,6,10
AGAP000399,3,AGAP000399__SITE01;AGAP000399__SITE03;AGAP000399__SITE04,1,0.971896955503513,8176,1,1,11,1,7,10
AGAP000399,3,AGAP000399__SITE01;AGAP000399__SITE02;AGAP000399__SITE05,1,0.982435597189695,8523,1,1,11,1,8,10
AGAP000399,3,AGAP000399__SITE01;AGAP000399__SITE03;AGAP000399__SITE05,1,0.971896955503513,8523,1,1,11,1,9,10
AGAP000399,3,AGAP000399__SITE01;AGAP000399__SITE04;AGAP000399__SITE05,1,0.978337236533958,8523,1,1,11,1,10,10
AGAP000627,2,AGAP000627__SITE04;AGAP000627__SITE05,1,0.995901639344262,64,1,1,11,1,1,10
AGAP000627,2,AGAP000627__SITE03;AGAP000627__SITE05,1,0.995316159250585,65,1,1,11,1,2,10
AGAP000627,2,AGAP000627__SITE02;AGAP000627__SITE05,1,0.997072599531616,68,1,1,11,1,3,10
AGAP000627,2,AGAP000627__SITE01;AGAP000627__SITE05,1,0.997072599531616,70,1,1,11,1,4,10
AGAP000627,2,AGAP000627__SITE02;AGAP000627__SITE04,0.999414519906323,0.997072599531616,27,0.998945981554677,1,11,0.999332506410197,5,10
AGAP000627,2,AGAP000627__SITE01;AGAP000627__SITE04,0.999414519906323,0.997072599531616,29,0.998945981554677,1,11,0.999332506410197,6,10
AGAP000627,2,AGAP000627__SITE01;AGAP000627__SITE02,0.998829039812646,0.998829039812646,25,0.997891963109354,1,11,0.998665012820394,7,10
AGAP000627,2,AGAP000627__SITE02;AGAP000627__SITE03,0.998829039812646,0.997072599531616,26,0.997891963109354,1,11,0.998665012820394,8,10
AGAP000627,2,AGAP000627__SITE01;AGAP000627__SITE03,0.998829039812646,0.997072599531616,28,0.997891963109354,1,11,0.998665012820394,9,10
AGAP000627,2,AGAP000627__SITE03;AGAP000627__SITE04,0.997658079625293,0.997072599531616,24,0.993936567164179,1,11,0.99677581792443,10,10
AGAP000627,3,AGAP000627__SITE03;AGAP000627__SITE04;AGAP000627__SITE05,1,0.995316159250585,65,1,1,11,1,1,10
AGAP000627,3,AGAP000627__SITE02;AGAP000627__SITE03;AGAP000627__SITE05,1,0.995316159250585,68,1,1,11,1,2,10
AGAP000627,3,AGAP000627__SITE02;AGAP000627__SITE04;AGAP000627__SITE05,1,0.995316159250585,68,1,1,11,1,3,10
AGAP000627,3,AGAP000627__SITE01;AGAP000627__SITE02;AGAP000627__SITE05,1,0.997072599531616,70,1,1,11,1,4,10
AGAP000627,3,AGAP000627__SITE01;AGAP000627__SITE03;AGAP000627__SITE05,1,0.995316159250585,70,1,1,11,1,5,10
AGAP000627,3,AGAP000627__SITE01;AGAP000627__SITE04;AGAP000627__SITE05,1,0.995316159250585,70,1,1,11,1,6,10
AGAP000627,3,AGAP000627__SITE02;AGAP000627__SITE03;AGAP000627__SITE04,0.999414519906323,0.997072599531616,27,0.998945981554677,1,11,0.999332506410197,7,10
AGAP000627,3,AGAP000627__SITE01;AGAP000627__SITE02;AGAP000627__SITE04,0.999414519906323,0.997072599531616,29,0.998945981554677,1,11,0.999332506410197,8,10
AGAP000627,3,AGAP000627__SITE01;AGAP000627__SITE03;AGAP000627__SITE04,0.999414519906323,0.997072599531616,29,0.998945981554677,1,11,0.999332506410197,9,10
AGAP000627,3,AGAP000627__SITE01;AGAP000627__SITE02;AGAP000627__SITE03,0.998829039812646,0.997072599531616,28,0.997891963109354,1,11,0.998665012820394,10,10
AGAP000999,2,AGAP000999__SITE01;AGAP000999__SITE02,0.992388758782201,0.988875878220141,35,0.963045167392993,0.909090909090909,11,0.975255896396309,1,10
AGAP001015,2,AGAP001015__SITE03;AGAP001015__SITE04,1,0.958430913348946,343,1,1,11,1,1,10
AGAP001015,2,AGAP001015__SITE04;AGAP001015__SITE05,1,0.964871194379391,579,1,1,11,1,2,10
AGAP001015,2,AGAP001015__SITE02;AGAP001015__SITE03,1,0.990046838407494,638,1,1,11,1,3,10
AGAP001015,2,AGAP001015__SITE01;AGAP001015__SITE03,1,0.978922716627635,646,1,1,11,1,4,10
AGAP001015,2,AGAP001015__SITE03;AGAP001015__SITE05,1,0.992388758782201,899,1,1,11,1,5,10
AGAP001015,2,AGAP001015__SITE02;AGAP001015__SITE04,1,0.962529274004684,958,1,1,11,1,6,10
AGAP001015,2,AGAP001015__SITE02;AGAP001015__SITE05,1,0.996487119437939,1514,1,1,11,1,7,10
AGAP001015,2,AGAP001015__SITE01;AGAP001015__SITE05,1,0.98536299765808,1522,1,1,11,1,8,10
