population_site_id,gene_id,scenario,robust_under_scenario
AGAP007999__SITE01,AGAP007999,strict,FALSE
AGAP007999__SITE02,AGAP007999,strict,TRUE
AGAP007999__SITE03,AGAP007999,strict,TRUE
AGAP007999__SITE04,AGAP007999,strict,FALSE
AGAP007999__SITE05,AGAP007999,strict,TRUE
AGAP005917__SITE01,AGAP005917,strict,TRUE
AGAP005917__SITE02,AGAP005917,strict,TRUE
AGAP005917__SITE03,AGAP005917,strict,FALSE
AGAP005917__SITE04,AGAP005917,strict,FALSE
AGAP005917__SITE05,AGAP005917,strict,FALSE
AGAP011966__SITE01,AGAP011966,strict,FALSE
AGAP011966__SITE02,AGAP011966,strict,FALSE
AGAP011966__SITE03,AGAP011966,strict,FALSE
AGAP011966__SITE04,AGAP011966,strict,TRUE
AGAP011966__SITE05,AGAP011966,strict,FALSE
AGAP004036__SITE01,AGAP004036,strict,FALSE
AGAP004036__SITE02,AGAP004036,strict,FALSE
AGAP004036__SITE03,AGAP004036,strict,FALSE
AGAP004036__SITE04,AGAP004036,strict,FALSE
AGAP004036__SITE05,AGAP004036,strict,FALSE
AGAP004825__SITE01,AGAP004825,strict,FALSE
AGAP004825__SITE02,AGAP004825,strict,FALSE
AGAP004825__SITE03,AGAP004825,strict,FALSE
AGAP004825__SITE04,AGAP004825,strict,FALSE
AGAP004825__SITE05,AGAP004825,strict,FALSE
AGAP003595__SITE01,AGAP003595,strict,FALSE
AGAP003595__SITE02,AGAP003595,strict,FALSE
AGAP003595__SITE03,AGAP003595,strict,FALSE
AGAP003595__SITE04,AGAP003595,strict,FALSE
AGAP003595__SITE05,AGAP003595,strict,TRUE
AGAP007413__SITE01,AGAP007413,strict,FALSE
AGAP007413__SITE02,AGAP007413,strict,FALSE
AGAP007413__SITE03,AGAP007413,strict,TRUE
AGAP007413__SITE04,AGAP007413,strict,FALSE
AGAP007413__SITE05,AGAP007413,strict,FALSE
AGAP009600__SITE01,AGAP009600,strict,FALSE
AGAP009600__SITE02,AGAP009600,strict,TRUE
AGAP009600__SITE03,AGAP009600,strict,FALSE
AGAP009600__SITE04,AGAP009600,strict,FALSE
AGAP009600__SITE05,AGAP009600,strict,FALSE
AGAP005763__SITE01,AGAP005763,strict,TRUE
AGAP005763__SITE02,AGAP005763,strict,FALSE
AGAP005763__SITE03,AGAP005763,strict,FALSE
AGAP005763__SITE04,AGAP005763,strict,FALSE
AGAP005763__SITE05,AGAP005763,strict,FALSE
AGAP011204__SITE01,AGAP011204,strict,FALSE
AGAP011204__SITE02,AGAP011204,strict,FALSE
AGAP011204__SITE03,AGAP011204,strict,FALSE
AGAP011204__SITE04,AGAP011204,strict,FALSE
AGAP011204__SITE05,AGAP011204,strict,FALSE
AGAP009921__SITE01,AGAP009921,strict,FALSE
AGAP009921__SITE02,AGAP009921,strict,TRUE
AGAP009921__SITE03,AGAP009921,strict,TRUE
AGAP009921__SITE04,AGAP009921,strict,FALSE
AGAP009921__SITE05,AGAP009921,strict,FALSE
AGAP002300__SITE01,AGAP002300,strict,FALSE
AGAP002300__SITE02,AGAP002300,strict,FALSE
AGAP002300__SITE03,AGAP002300,strict,FALSE
AGAP002300__SITE04,AGAP002300,strict,FALSE
AGAP002300__SITE05,AGAP002300,strict,TRUE
AGAP004038__SITE01,AGAP004038,strict,FALSE
AGAP004038__SITE02,AGAP004038,strict,FALSE
AGAP004038__SITE03,AGAP004038,strict,FALSE
AGAP004038__SITE04,AGAP004038,strict,FALSE
AGAP004038__SITE05,AGAP004038,strict,FALSE
AGAP003769__SITE01,AGAP003769,strict,FALSE
AGAP003769__SITE02,AGAP003769,strict,FALSE
AGAP003769__SITE03,AGAP003769,strict,FALSE
AGAP003769__SITE04,AGAP003769,strict,FALSE
AGAP003769__SITE05,AGAP003769,strict,FALSE
AGAP002004__SITE01,AGAP002004,strict,FALSE
AGAP002004__SITE02,AGAP002004,strict,TRUE
AGAP002004__SITE03,AGAP002004,strict,FALSE
AGAP002004__SITE04,AGAP002004,strict,FALSE
AGAP002004__SITE05,AGAP002004,strict,FALSE
AGAP009488__SITE01,AGAP009488,strict,FALSE
AGAP009488__SITE02,AGAP009488,strict,TRUE
AGAP009488__SITE03,AGAP009488,strict,FALSE
AGAP009488__SITE04,AGAP009488,strict,FALSE
AGAP009488__SITE05,AGAP009488,strict,FALSE
AGAP005127__SITE01,AGAP005127,strict,FALSE
AGAP005127__SITE02,AGAP005127,strict,TRUE
AGAP005127__SITE03,AGAP005127,strict,TRUE
AGAP005127__SITE04,AGAP005127,strict,FALSE
AGAP005127__SITE05,AGAP005127,strict,TRUE
AGAP010711__SITE01,AGAP010711,strict,FALSE
AGAP010711__SITE02,AGAP010711,strict,FALSE
AGAP010711__SITE03,AGAP010711,strict,FALSE
AGAP010711__SITE04,AGAP010711,strict,FALSE
AGAP010711__SITE05,AGAP010711,strict,FALSE
AGAP005321__SITE01,AGAP005321,strict,FALSE
AGAP005321__SITE02,AGAP005321,strict,FALSE
AGAP005321__SITE03,AGAP005321,strict,FALSE
AGAP005321__SITE04,AGAP005321,strict,FALSE
AGAP005321__SITE05,AGAP005321,strict,FALSE
AGAP001099__SITE01,AGAP001099,strict,TRUE
