gene_id,min_population_n,gene_score_sensitivity,class_sensitivity,population_filtered_rank_sensitivity
AGAP007999,10,0.996943083030614,HIGHLY_ROBUST,1
AGAP005917,10,0.999362677353971,HIGHLY_ROBUST,2
AGAP011966,10,0.99606569533286,HIGHLY_ROBUST,3
AGAP004825,10,0.994016302416489,HIGHLY_ROBUST,4
AGAP003595,10,0.994887602618378,HIGHLY_ROBUST,5
AGAP007413,10,0.994861409180804,HIGHLY_ROBUST,6
AGAP009600,10,0.996966771216382,HIGHLY_ROBUST,7
AGAP005763,10,0.993959764893067,HIGHLY_ROBUST,8
AGAP009921,10,0.998487876739491,HIGHLY_ROBUST,9
AGAP002300,10,0.997544743088586,HIGHLY_ROBUST,10
AGAP004038,10,0.994691573346188,HIGHLY_ROBUST,11
AGAP002004,10,0.997146933749789,HIGHLY_ROBUST,12
AGAP009488,10,0.998756799737224,HIGHLY_ROBUST,13
AGAP005127,10,0.996898844643316,HIGHLY_ROBUST,14
AGAP010711,10,0.99537369243526,HIGHLY_ROBUST,15
AGAP005321,10,0.993169091664414,HIGHLY_ROBUST,16
AGAP001099,10,1,HIGHLY_ROBUST,17
AGAP004957,10,0.993078938640133,HIGHLY_ROBUST,18
AGAP010175,10,0.997563072641451,HIGHLY_ROBUST,19
AGAP007280,10,0.996992898490908,HIGHLY_ROBUST,20
AGAP001135,10,0.997586090983496,HIGHLY_ROBUST,21
AGAP009048,10,0.993709461749225,HIGHLY_ROBUST,22
AGAP010313,10,0.999455269946564,HIGHLY_ROBUST,23
AGAP001015,10,0.999314378415301,HIGHLY_ROBUST,24
AGAP010219,10,0.999681338676985,HIGHLY_ROBUST,25
AGAP008191,10,0.99480637907412,HIGHLY_ROBUST,26
AGAP005871,10,0.99896743636888,HIGHLY_ROBUST,27
AGAP008015,10,0.997190159322435,HIGHLY_ROBUST,28
AGAP004852,10,1,HIGHLY_ROBUST,29
AGAP012424,10,1,HIGHLY_ROBUST,30
AGAP010722,10,0.996835596474151,HIGHLY_ROBUST,31
AGAP009792,10,0.994704156351896,HIGHLY_ROBUST,32
AGAP007217,10,0.991806624228753,HIGHLY_ROBUST,33
AGAP009091,10,0.994599632065472,HIGHLY_ROBUST,34
AGAP006989,10,0.992185992951907,HIGHLY_ROBUST,35
AGAP005062,10,1,HIGHLY_ROBUST,36
AGAP008118,10,0.998094987021415,HIGHLY_ROBUST,37
AGAP000099,10,0.998026886032778,HIGHLY_ROBUST,38
AGAP007122,10,0.998258018592484,HIGHLY_ROBUST,39
AGAP011938,10,0.997976739566059,HIGHLY_ROBUST,40
AGAP007333,10,0.996526341506752,HIGHLY_ROBUST,41
AGAP005959,10,0.997008476543339,HIGHLY_ROBUST,42
AGAP011849,10,0.996333046306927,HIGHLY_ROBUST,43
AGAP005874,10,0.999199924291585,HIGHLY_ROBUST,44
AGAP010380,10,1,HIGHLY_ROBUST,45
AGAP004685,10,1,HIGHLY_ROBUST,46
AGAP004502,10,1,HIGHLY_ROBUST,47
AGAP004699,10,1,HIGHLY_ROBUST,48
AGAP002171,10,0.989868441154616,HIGHLY_ROBUST,49
AGAP009515,10,1,HIGHLY_ROBUST,50
AGAP029982,10,0.996838836571113,HIGHLY_ROBUST,51
AGAP009232,10,0.990470119639896,HIGHLY_ROBUST,52
AGAP005958,10,0.995002023075616,HIGHLY_ROBUST,53
AGAP006241,10,0.994445800500603,HIGHLY_ROBUST,54
AGAP009782,10,0.996969935101996,HIGHLY_ROBUST,55
AGAP002475,10,0.994827726750861,HIGHLY_ROBUST,56
AGAP001526,10,0.990926462193862,HIGHLY_ROBUST,57
AGAP000399,10,0.998283128415301,HIGHLY_ROBUST,58
AGAP010197,10,0.999362677353971,HIGHLY_ROBUST,59
AGAP007855,10,0.997475708428756,HIGHLY_ROBUST,60
AGAP005130,10,0.998831195872489,HIGHLY_ROBUST,61
AGAP003594,10,0.995450781805259,HIGHLY_ROBUST,62
AGAP004729,10,1,HIGHLY_ROBUST,63
AGAP000627,10,0.999376039439297,HIGHLY_ROBUST,64
AGAP009936,10,0.997316312364235,HIGHLY_ROBUST,65
AGAP007938,10,0.995486237792519,HIGHLY_ROBUST,66
AGAP004521,10,0.986971054026639,HIGHLY_ROBUST,67
AGAP007729,10,1,HIGHLY_ROBUST,68
AGAP012142,10,0.999681338676985,HIGHLY_ROBUST,69
AGAP012991,10,0.997992182756527,HIGHLY_ROBUST,70
AGAP004739,10,1,HIGHLY_ROBUST,71
AGAP008578,10,0.997355030403538,HIGHLY_ROBUST,72
AGAP010220,10,0.99537369243526,HIGHLY_ROBUST,73
AGAP005920,10,0.997599942746584,HIGHLY_ROBUST,74
