population_site_id,population_exact_mean,population_exact_sd,population_exact_min,population_exact_max,populations_assessed,population_exact_range
AGAP007999__SITE01,0.93521610693235,0.0829878714789841,0.729166666666667,0.993333333333333,10,0.264166666666666
AGAP007999__SITE02,0.996550196582805,0.00489984857821618,0.986531986531987,1,10,0.013468013468013
AGAP007999__SITE03,0.996718546751156,0.00453254966215487,0.988215488215488,1,10,0.011784511784512
AGAP007999__SITE04,0.591873668531124,0.134953267799179,0.291666666666667,0.732394366197183,10,0.440727699530516
AGAP007999__SITE05,0.994593763724198,0.0102719961249577,0.972727272727273,1,10,0.027272727272727
AGAP005917__SITE01,0.993921709329318,0.0103970040906334,0.966666666666667,1,10,0.033333333333333
AGAP005917__SITE02,0.9996632996633,0.00106473995291854,0.996632996632997,1,10,0.00336700336700302
AGAP005917__SITE03,0.0257687035696833,0.0453383751250645,0,0.112676056338028,10,0.112676056338028
AGAP005917__SITE04,0.0257687035696833,0.0453383751250645,0,0.112676056338028,10,0.112676056338028
AGAP005917__SITE05,0.992554705962315,0.0121493052954258,0.961279461279461,1,10,0.038720538720539
AGAP011966__SITE01,0.9903293300902,0.0145114699702417,0.956521739130435,1,10,0.043478260869565
AGAP011966__SITE02,0.434407444044921,0.121663644383492,0.290909090909091,0.681159420289855,10,0.390250329380764
AGAP011966__SITE03,0.437390732897775,0.121536061437183,0.290909090909091,0.681159420289855,10,0.390250329380764
AGAP011966__SITE04,0.995230323420541,0.00623454628640699,0.986607142857143,1,10,0.013392857142857
AGAP011966__SITE05,0.08596176597608,0.142065901718575,0,0.458333333333333,10,0.458333333333333
AGAP004036__SITE01,0.817094442662416,0.123874991133644,0.659420289855073,1,10,0.340579710144927
AGAP004036__SITE02,0.365469421922116,0.113488933685582,0.243589743589744,0.613333333333333,10,0.369743589743589
AGAP004036__SITE03,0.987250934423699,0.0200976306761132,0.9375,1,10,0.0625
AGAP004036__SITE04,0.986341843514608,0.0201193689384473,0.9375,1,10,0.0625
AGAP004036__SITE05,0.943237682205073,0.0694890598717038,0.801346801346801,1,10,0.198653198653199
AGAP004825__SITE01,1,0,1,1,10,0
AGAP004825__SITE02,0.858897521934417,0.210158512937566,0.395833333333333,1,10,0.604166666666667
AGAP004825__SITE03,0.900521204816367,0.0987538643509174,0.695286195286195,1,10,0.304713804713805
AGAP004825__SITE04,0.977497330712426,0.038464485845144,0.875,1,10,0.125
AGAP004825__SITE05,0.992772727272727,0.01176844624007,0.972727272727273,1,10,0.027272727272727
AGAP003595__SITE01,0.987724877665937,0.0133792978573561,0.966666666666667,1,10,0.033333333333333
AGAP003595__SITE02,0.929564614823724,0.117009571529816,0.608974358974359,1,10,0.391025641025641
AGAP003595__SITE03,0.94949564305022,0.0381967431442866,0.9,1,10,0.1
AGAP003595__SITE04,0.993464169686996,0.00791625061826748,0.979166666666667,1,10,0.020833333333333
AGAP003595__SITE05,0.991101421440368,0.0170330363399756,0.946666666666667,1,10,0.053333333333333
AGAP007413__SITE01,0.9145269942884,0.0664721220439484,0.782608695652174,1,10,0.217391304347826
AGAP007413__SITE02,0.954534146386489,0.0429229378045866,0.891025641025641,1,10,0.108974358974359
AGAP007413__SITE03,0.992610866560806,0.00714561439592979,0.981818181818182,1,10,0.018181818181818
AGAP007413__SITE04,0.990581185090906,0.0216777510212342,0.92948717948718,1,10,0.07051282051282
AGAP007413__SITE05,0.524146791634009,0.200642685193801,0.166666666666667,0.781818181818182,10,0.615151515151515
AGAP009600__SITE01,0.940091065768959,0.103392317947052,0.653846153846154,1,10,0.346153846153846
AGAP009600__SITE02,0.997534548382374,0.00529492276313729,0.983695652173913,1,10,0.016304347826087
