population_site_id,contig,accessibility_records_expected,accessibility_records_found,accessibility_complete,accessibility_missing_positions,accessibility_fraction_23bp,pam_accessibility_fraction,protospacer_accessibility_fraction
AGAP007999__SITE01,3R,23,23,TRUE,,1,1,1
AGAP007999__SITE02,3R,23,23,TRUE,,1,1,1
AGAP007999__SITE03,3R,23,23,TRUE,,1,1,1
AGAP007999__SITE04,3R,23,23,TRUE,,1,1,1
AGAP007999__SITE05,3R,23,23,TRUE,,1,1,1
AGAP005917__SITE01,2L,23,23,TRUE,,1,1,1
AGAP005917__SITE02,2L,23,23,TRUE,,1,1,1
AGAP005917__SITE03,2L,23,23,TRUE,,1,1,1
AGAP005917__SITE04,2L,23,23,TRUE,,1,1,1
AGAP005917__SITE05,2L,23,23,TRUE,,1,1,1
AGAP011966__SITE01,3L,23,23,TRUE,,1,1,1
AGAP011966__SITE02,3L,23,23,TRUE,,1,1,1
AGAP011966__SITE03,3L,23,23,TRUE,,1,1,1
AGAP011966__SITE04,3L,23,23,TRUE,,1,1,1
AGAP011966__SITE05,3L,23,23,TRUE,,1,1,1
AGAP004036__SITE01,2R,23,23,TRUE,,1,1,1
AGAP004036__SITE02,2R,23,23,TRUE,,1,1,1
AGAP004036__SITE03,2R,23,23,TRUE,,1,1,1
AGAP004036__SITE04,2R,23,23,TRUE,,1,1,1
AGAP004036__SITE05,2R,23,23,TRUE,,1,1,1
AGAP004825__SITE01,2L,23,23,TRUE,,0,0,0
AGAP004825__SITE02,2L,23,23,TRUE,,1,1,1
AGAP004825__SITE03,2L,23,23,TRUE,,1,1,1
AGAP004825__SITE04,2L,23,23,TRUE,,1,1,1
AGAP004825__SITE05,2L,23,23,TRUE,,1,1,1
AGAP003595__SITE01,2R,23,23,TRUE,,1,1,1
AGAP003595__SITE02,2R,23,23,TRUE,,1,1,1
AGAP003595__SITE03,2R,23,23,TRUE,,1,1,1
AGAP003595__SITE04,2R,23,23,TRUE,,1,1,1
AGAP003595__SITE05,2R,23,23,TRUE,,1,1,1
AGAP007413__SITE01,2L,23,23,TRUE,,1,1,1
AGAP007413__SITE02,2L,23,23,TRUE,,1,1,1
AGAP007413__SITE03,2L,23,23,TRUE,,1,1,1
AGAP007413__SITE04,2L,23,23,TRUE,,1,1,1
AGAP007413__SITE05,2L,23,23,TRUE,,1,1,1
AGAP009600__SITE01,3R,23,23,TRUE,,1,1,1
AGAP009600__SITE02,3R,23,23,TRUE,,1,1,1
AGAP009600__SITE03,3R,23,23,TRUE,,1,1,1
AGAP009600__SITE04,3R,23,23,TRUE,,1,1,1
AGAP009600__SITE05,3R,23,23,TRUE,,1,1,1
AGAP005763__SITE01,2L,23,23,TRUE,,1,1,1
AGAP005763__SITE02,2L,23,23,TRUE,,1,1,1
AGAP005763__SITE03,2L,23,23,TRUE,,1,1,1
AGAP005763__SITE04,2L,23,23,TRUE,,1,1,1
AGAP005763__SITE05,2L,23,23,TRUE,,1,1,1
AGAP011204__SITE01,3L,23,23,TRUE,,1,1,1
AGAP011204__SITE02,3L,23,23,TRUE,,1,1,1
AGAP011204__SITE03,3L,23,23,TRUE,,1,1,1
AGAP011204__SITE04,3L,23,23,TRUE,,1,1,1
AGAP011204__SITE05,3L,23,23,TRUE,,1,1,1
AGAP009921__SITE01,3R,23,23,TRUE,,1,1,1
AGAP009921__SITE02,3R,23,23,TRUE,,1,1,1
AGAP009921__SITE03,3R,23,23,TRUE,,1,1,1
AGAP009921__SITE04,3R,23,23,TRUE,,1,1,1
AGAP009921__SITE05,3R,23,23,TRUE,,1,1,1
AGAP002300__SITE01,2R,23,23,TRUE,,1,1,1
AGAP002300__SITE02,2R,23,23,TRUE,,1,1,1
AGAP002300__SITE03,2R,23,23,TRUE,,1,1,1
AGAP002300__SITE04,2R,23,23,TRUE,,1,1,1
AGAP002300__SITE05,2R,23,23,TRUE,,1,1,1
AGAP004038__SITE01,2R,23,23,TRUE,,1,1,1
AGAP004038__SITE02,2R,23,23,TRUE,,1,1,1
AGAP004038__SITE03,2R,23,23,TRUE,,1,1,1
AGAP004038__SITE04,2R,23,23,TRUE,,0,0,0
AGAP004038__SITE05,2R,23,23,TRUE,,1,1,1
AGAP003769__SITE01,2R,23,23,TRUE,,1,1,1
AGAP003769__SITE02,2R,23,23,TRUE,,1,1,1
AGAP003769__SITE03,2R,23,23,TRUE,,1,1,1
AGAP003769__SITE04,2R,23,23,TRUE,,1,1,1
AGAP003769__SITE05,2R,23,23,TRUE,,1,1,1
AGAP002004__SITE01,2R,23,23,TRUE,,1,1,1
AGAP002004__SITE02,2R,23,23,TRUE,,1,1,1
AGAP002004__SITE03,2R,23,23,TRUE,,1,1,1
AGAP002004__SITE04,2R,23,23,TRUE,,1,1,1
AGAP002004__SITE05,2R,23,23,TRUE,,1,1,1
AGAP009488__SITE01,3R,23,23,TRUE,,1,1,1
AGAP009488__SITE02,3R,23,23,TRUE,,1,1,1
AGAP009488__SITE03,3R,23,23,TRUE,,1,1,1
AGAP009488__SITE04,3R,23,23,TRUE,,1,1,1
AGAP009488__SITE05,3R,23,23,TRUE,,1,1,1
AGAP005127__SITE01,2L,23,23,TRUE,,1,1,1
AGAP005127__SITE02,2L,23,23,TRUE,,1,1,1
AGAP005127__SITE03,2L,23,23,TRUE,,1,1,1
AGAP005127__SITE04,2L,23,23,TRUE,,1,1,1
AGAP005127__SITE05,2L,23,23,TRUE,,1,1,1
AGAP010711__SITE01,3L,23,23,TRUE,,1,1,1
AGAP010711__SITE02,3L,23,23,TRUE,,1,1,1
AGAP010711__SITE03,3L,23,23,TRUE,,1,1,1
AGAP010711__SITE04,3L,23,23,TRUE,,1,1,1
AGAP010711__SITE05,3L,23,23,TRUE,,1,1,1
AGAP005321__SITE01,2L,23,23,TRUE,,1,1,1
AGAP005321__SITE02,2L,23,23,TRUE,,1,1,1
AGAP005321__SITE03,2L,23,23,TRUE,,1,1,1
AGAP005321__SITE04,2L,23,23,TRUE,,1,1,1
AGAP005321__SITE05,2L,23,23,TRUE,,1,1,1
AGAP001099__SITE01,2R,23,23,TRUE,,1,1,1
AGAP001099__SITE02,2R,23,23,TRUE,,1,1,1
AGAP001099__SITE03,2R,23,23,TRUE,,1,1,1
AGAP001099__SITE04,2R,23,23,TRUE,,1,1,1
AGAP001099__SITE05,2R,23,23,TRUE,,1,1,1
AGAP006939__SITE01,2L,23,23,TRUE,,1,1,1
AGAP006939__SITE02,2L,23,23,TRUE,,1,1,1
AGAP006939__SITE03,2L,23,23,TRUE,,1,1,1
AGAP006939__SITE04,2L,23,23,TRUE,,1,1,1
AGAP006939__SITE05,2L,23,23,TRUE,,1,1,1
AGAP004957__SITE01,2L,23,23,TRUE,,1,1,1
AGAP004957__SITE02,2L,23,23,TRUE,,1,1,1
AGAP004957__SITE03,2L,23,23,TRUE,,1,1,1
AGAP004957__SITE04,2L,23,23,TRUE,,1,1,1
AGAP004957__SITE05,2L,23,23,TRUE,,1,1,1
AGAP010175__SITE01,3R,23,23,TRUE,,1,1,1
AGAP010175__SITE02,3R,23,23,TRUE,,1,1,1
AGAP010175__SITE03,3R,23,23,TRUE,,1,1,1
AGAP010175__SITE04,3R,23,23,TRUE,,1,1,1
AGAP010175__SITE05,3R,23,23,TRUE,,1,1,1
AGAP007280__SITE01,2L,23,23,TRUE,,1,1,1
AGAP007280__SITE02,2L,23,23,TRUE,,1,1,1
AGAP007280__SITE03,2L,23,23,TRUE,,1,1,1
AGAP007280__SITE04,2L,23,23,TRUE,,1,1,1
AGAP007280__SITE05,2L,23,23,TRUE,,1,1,1
AGAP001135__SITE01,2R,23,23,TRUE,,1,1,1
AGAP001135__SITE02,2R,23,23,TRUE,,1,1,1
AGAP001135__SITE03,2R,23,23,TRUE,,1,1,1
AGAP001135__SITE04,2R,23,23,TRUE,,1,1,1
AGAP001135__SITE05,2R,23,23,TRUE,,1,1,1
AGAP009048__SITE01,3R,23,23,TRUE,,1,1,1
AGAP009048__SITE02,3R,23,23,TRUE,,1,1,1
AGAP009048__SITE03,3R,23,23,TRUE,,1,1,1
AGAP009048__SITE04,3R,23,23,TRUE,,1,1,1
AGAP009048__SITE05,3R,23,23,TRUE,,1,1,1
AGAP010313__SITE01,3L,23,23,TRUE,,1,1,1
AGAP010313__SITE02,3L,23,23,TRUE,,1,1,1
AGAP010313__SITE03,3L,23,23,TRUE,,1,1,1
AGAP010313__SITE04,3L,23,23,TRUE,,1,1,1
AGAP010313__SITE05,3L,23,23,TRUE,,1,1,1
AGAP009338__SITE01,3R,23,23,TRUE,,1,1,1
AGAP009338__SITE02,3R,23,23,TRUE,,1,1,1
AGAP009338__SITE03,3R,23,23,TRUE,,1,1,1
