gene_id,chromosome,gene_start,gene_end,benchmark_name,benchmark_class,benchmark_reference,is_external_landmark_validation,preliminary_rank,rank_primary,rank_expression_dominant,rank_functional_dominant,rank_consensus_median,rank_sensitivity_range,fris,functional_evidence_score,score_primary,evidence_domain_coverage,gene_has_cds,n_transcripts_scanned,n_unique_exon_contiguous_ngg_sites,n_unique_exon_contiguous_reference_quality_sites,n_unique_functional_region_reference_quality_sites,n_unique_CDS_reference_quality_sites,n_unique_UTR_reference_quality_sites,n_unique_noncoding_exon_reference_quality_sites,n_unique_functional_reference_guide_sequences,fraction_raw_guide_instances_exon_contiguous,fraction_raw_guide_instances_junction_or_unmapped,fraction_transcripts_with_functional_region_reference_quality_guide,best_functional_guide_gc_percent,median_functional_guide_gc_percent,crispr_exon_aware_reference_editability_score,crispr_exon_aware_reference_editability_rank,step05_status,population_conservation_status,population_genomics_assessed,genomewide_offtarget_status,pu_label,pu_label_semantics,analysis_role,pu_consensus_percentile,pu_models_available,pu_repeat_mean_percentile,pu_repeat_sd_percentile,pu_repeat_min_percentile,pu_repeat_max_percentile,n_pu_repeats,biological_discovery_percentile,crispr_tractability_percentile,final_integrated_raw,final_evidence_domain_coverage,final_integrated_score,final_integrated_rank,score_biology_led,rank_biology_led,score_validation_led,rank_validation_led,final_consensus_rank_median,final_rank_sensitivity_range,final_prepopulation_rank,is_external_benchmark,novel_candidate_rank,top50_novel_prepopulation,top100_novel_prepopulation,bootstrap_rank_mean,bootstrap_rank_median,bootstrap_rank_sd,bootstrap_rank_q025,bootstrap_rank_q975,bootstrap_rank_interval_width,bootstrap_score_mean,bootstrap_score_median,bootstrap_score_q025,bootstrap_score_q975,probability_top10,probability_top20,probability_top50,probability_top100,bootstrap_median_rank_shift_from_step09,scenario_rank_min,scenario_rank_max,robust_rank_envelope_min,robust_rank_envelope_max,robust_rank_envelope_width,bootstrap_stability_class,population_validation_role,population_validation_priority,best_single_site_id,population_site_rank_within_gene,best_single_site_score,best_single_site_class,best_single_global_exact,best_single_population_q10_exact,best_single_pam_intact,best_single_max_alt_af,best_pair_sites,best_pair_score,best_pair_global_atleast1,best_pair_q10_atleast1,best_pair_breadth_ge95,best_pair_span_bp,best_triple_sites,best_triple_score,best_triple_global_atleast1,best_triple_q10_atleast1,best_triple_breadth_ge95,best_triple_span_bp,gene_population_robustness_score,population_deployment_class,deployment_class_priority,population_deployment_rank,population_filtered_prepopulation_rank,population_filtered_rank_shift,population_filtered_rank_direction
AGAP007999,3R,3980594,3986024,,,,FALSE,87,1,168,85,90,83,0.827811943294215,0.99190194470478,0.99053544813609,1,TRUE,1,613,515,485,485,30,0,485,0.988709677419355,0.0112903225806452,1,50,60,0.994852941176471,4,functional_region_reference_editable_multiplex_4plus,PENDING_TARGETED_AG1000G,FALSE,NOT_EVALUATED_IN_STEP05,1,observed_positive,TARGETED_CRISPR_VALIDATION_AND_RERANKING,0.991834080069374,3,0.991954521366286,0.00103299039564449,0.990822373175314,0.992845786963434,3,0.991852801171732,0.985294117647059,0.99053544813609,1,0.99053544813609,1,0.990864318367441,1,0.990206577904738,1,1,0,1,FALSE,1,TRUE,TRUE,1,1,0,1,1,0,0.990851523435989,0.990643845303311,0.98890949062778,0.992985224115278,1,1,1,1,0,1,1,1,1,0,very_high,ROBUST_CORE_NOVEL,1,AGAP007999__SITE03,3,0.994370570637673,ROBUST,0.994136460554371,0.989262666346,1,0.00892857142857143,AGAP007999__SITE01;AGAP007999__SITE02,1,1,1,1,155,AGAP007999__SITE01;AGAP007999__SITE02;AGAP007999__SITE03,1,1,1,1,156,0.99690381385072,HIGHLY_ROBUST,1,46,1,0,UNCHANGED
AGAP005917,2L,23651920,23657751,,,,FALSE,104,2,185,103,106,82,0.823598790699556,0.975940135895033,0.984019524579436,1,TRUE,1,668,538,531,531,7,0,531,0.969521044992743,0.0304789550072569,1,50,60,0.99656862745098,3,functional_region_reference_editable_multiplex_4plus,PENDING_TARGETED_AG1000G,FALSE,NOT_EVALUATED_IN_STEP05,1,observed_positive,TARGETED_CRISPR_VALIDATION_AND_RERANKING,0.969287469287469,3,0.972394854747796,0.0213610577098914,0.947824830177771,0.986558751264634,3,0.990388136213841,0.990196078431373,0.984019524579436,1,0.984019524579436,2,0.985084160814878,4,0.982954888343994,2,2,2,2,FALSE,2,TRUE,TRUE,2.79,2,2.54108806700636,2,15,13,0.985979713913155,0.98807357863349,0.966112312554577,0.991130378749114,0.966,1,1,1,0,2,4,2,15,13,high,ROBUST_CORE_NOVEL,1,AGAP005917__SITE02,2,0.998757056468499,ROBUST,0.998933901918977,0.997867564534231,1,0.00336700336700337,AGAP005917__SITE02;AGAP005917__SITE05,1,1,1,1,93,AGAP005917__SITE02;AGAP005917__SITE03;AGAP005917__SITE05,1,1,1,1,93,0.999316381057674,HIGHLY_ROBUST,1,19,2,0,UNCHANGED
AGAP011966,3L,35673956,35685896,,,,FALSE,88,3,169,83,91,86,0.825257828434759,0.994977155576382,0.983506490961205,1,TRUE,1,497,396,366,366,30,0,366,0.982213438735178,0.0177865612648221,1,50,60,0.986274509803921,9,functional_region_reference_editable_multiplex_4plus,PENDING_TARGETED_AG1000G,FALSE,NOT_EVALUATED_IN_STEP05,1,observed_positive,TARGETED_CRISPR_VALIDATION_AND_RERANKING,0.98489666136725,3,0.979284096931156,0.0103700166468964,0.972178060413355,0.99118369706605,3,0.991761259611864,0.96078431372549,0.983506490961205,1,0.983506490961205,3,0.985398568167754,3,0.981614413754656,3,3,0,3,FALSE,3,TRUE,TRUE,3.6535,3,0.769892276268914,3,5,2,0.9819826327447,0.981295188749903,0.977284493562737,0.986086343541057,1,1,1,1,0,3,3,3,5,2,very_high,ROBUST_CORE_NOVEL,1,AGAP011966__SITE04,4,0.992845230691779,ROBUST,0.993070362473348,0.986628968253968,0.999466950959488,0.0133333333333333,AGAP011966__SITE01;AGAP011966__SITE04,1,1,1,1,121,AGAP011966__SITE01;AGAP011966__SITE02;AGAP011966__SITE04,1,1,1,1,121,0.996064876880478,HIGHLY_ROBUST,1,55,3,0,UNCHANGED
AGAP004825,2L,3992274,3996433,,,,FALSE,60,5,97,61,62,36,0.875585305143797,0.983130271790066,0.980442553893886,1,TRUE,1,420,328,311,311,17,0,311,0.99290780141844,0.00709219858156028,1,50,50,0.974264705882353,16,functional_region_reference_editable_multiplex_4plus,PENDING_TARGETED_AG1000G,FALSE,NOT_EVALUATED_IN_STEP05,1,observed_positive,TARGETED_CRISPR_VALIDATION_AND_RERANKING,0.993134846076023,3,0.994435612082671,0.00520456932505589,0.988437635496459,0.997759791877439,3,0.994415964848041,0.926470588235294,0.980442553893886,1,0.980442553893886,5,0.983903878663124,5,0.976981229124648,4,5,1,5,FALSE,5,TRUE,TRUE,4.5995,5,1.55637749452141,2,8,6,0.979615364271108,0.979163467320682,0.975933231737505,0.982068511402197,1,1,1,1,0,4,5,2,8,6,very_high,ROBUST_CORE_NOVEL,1,AGAP004825__SITE05,5,0.989063731666344,ROBUST,0.995735607675906,0.973560606060606,0.998933901918977,0.0272727272727273,AGAP004825__SITE02;AGAP004825__SITE03,1,1,1,1,77,AGAP004825__SITE02;AGAP004825__SITE03;AGAP004825__SITE04,1,1,1,1,93,0.993985052416489,HIGHLY_ROBUST,1,72,4,1,UP
AGAP003595,2R,40378222,40382994,,,,FALSE,143,6,212,132,143,80,0.816443393613622,0.95649308809747,0.978132239763403,1,TRUE,1,539,448,443,443,5,0,443,0.988990825688073,0.0110091743119266,1,50,55,0.993137254901961,5,functional_region_reference_editable_multiplex_4plus,PENDING_TARGETED_AG1000G,FALSE,NOT_EVALUATED_IN_STEP05,1,observed_positive,TARGETED_CRISPR_VALIDATION_AND_RERANKING,0.961844197138315,3,0.952016187310305,0.0166529159946051,0.933805463217228,0.966469142939731,3,0.987001098498718,0.980392156862745,0.978132239763403,1,0.978132239763403,6,0.979720531913222,6,0.976543947613584,6,6,0,6,FALSE,6,TRUE,TRUE,9.73,9,4.5634978641803,4,23,19,0.972457019355829,0.970934667859948,0.955498911247721,0.983465380390661,0.5715,0.959,1,1,3,6,6,4,23,19,high,ROBUST_CORE_NOVEL,1,AGAP003595__SITE04,4,0.990591507395733,ROBUST,0.993070362473348,0.98082729468599,0.998933901918977,0.0208333333333333,AGAP003595__SITE03;AGAP003595__SITE04,1,1,1,1,78,AGAP003595__SITE02;AGAP003595__SITE03;AGAP003595__SITE04,1,1,1,1,226,0.994825329067653,HIGHLY_ROBUST,1,65,5,1,UP
AGAP007413,2L,46355820,46360435,,,,FALSE,136,7,236,105,136,131,0.793653792230762,0.99548969072165,0.976474989127648,1,TRUE,1,524,413,327,327,86,0,327,0.998095238095238,0.0019047619047619,1,50,55,0.975980392156863,15,functional_region_reference_editable_multiplex_4plus,PENDING_TARGETED_AG1000G,FALSE,NOT_EVALUATED_IN_STEP05,1,observed_positive,TARGETED_CRISPR_VALIDATION_AND_RERANKING,0.987931782049429,3,0.985089367442309,0.0112939776344163,0.972178060413355,0.993134846076023,3,0.987641889417796,0.931372549019608,0.976474989127648,1,0.976474989127648,7,0.979273961515976,7,0.97367601673932,7,7,0,7,FALSE,7,TRUE,TRUE,7.1515,7,2.38104650127221,4,18,14,0.975935973373927,0.977082013264084,0.959716787075329,0.979965377912155,0.9235,1,1,1,0,7,7,4,18,14,high,ROBUST_CORE_NOVEL,1,AGAP007413__SITE03,3,0.990610170842569,ROBUST,0.991471215351812,0.982506587615283,0.997867803837953,0.0181818181818182,AGAP007413__SITE03;AGAP007413__SITE04,1,1,1,1,135,AGAP007413__SITE02;AGAP007413__SITE03;AGAP007413__SITE04,1,1,1,1,144,0.994835593963413,HIGHLY_ROBUST,1,64,6,1,UP
AGAP009600,3R,36940163,36943636,,,,FALSE,76,8,99,78,78,27,0.880898427526225,0.965923734770384,0.972918555204725,1,TRUE,1,428,355,339,339,16,0,339,0.995348837209302,0.00465116279069768,1,50,60,0.978553921568628,14,functional_region_reference_editable_multiplex_4plus,PENDING_TARGETED_AG1000G,FALSE,NOT_EVALUATED_IN_STEP05,1,observed_positive,TARGETED_CRISPR_VALIDATION_AND_RERANKING,0.961410608469432,3,0.971286794816207,0.00860446651782162,0.961555138025726,0.977886977886978,3,0.993500549249359,0.938725490196078,0.972918555204725,1,0.972918555204725,8,0.977261805196385,8,0.968575305213065,9,8,1,8,FALSE,8,TRUE,TRUE,8.7135,7,5.68133404477013,3,26,23,0.974021008593943,0.976278867388566,0.953710577173217,0.980289562575732,0.88,0.88,1,1,-1,8,9,3,26,23,moderate,ROBUST_CORE_NOVEL,1,AGAP009600__SITE02,2,0.994244096546254,ROBUST,0.997334754797441,0.987229468599034,1,0.016304347826087,AGAP009600__SITE03;AGAP009600__SITE05,1,1,1,1,34,AGAP009600__SITE03;AGAP009600__SITE04;AGAP009600__SITE05,1,1,1,1,34,0.99683425310044,HIGHLY_ROBUST,1,48,7,1,UP
AGAP005763,2L,20308889,20355566,,,,FALSE,166,9,272,114,166,158,0.771567948252004,1,0.972666542706067,1,TRUE,1,598,465,348,348,117,0,348,0.944707740916272,0.0552922590837283,1,50,60,0.981127450980392,12,functional_region_reference_editable_multiplex_4plus,PENDING_TARGETED_AG1000G,FALSE,NOT_EVALUATED_IN_STEP05,1,observed_positive,TARGETED_CRISPR_VALIDATION_AND_RERANKING,0.970010117068941,3,0.963458110516934,0.0134288751433777,0.951871657754011,0.978176036999566,3,0.98489564262175,0.946078431372549,0.972666542706067,1,0.972666542706067,9,0.975351679546168,11,0.969981405865967,8,9,3,9,FALSE,9,TRUE,TRUE,11.71,12,3.73803242939673,5,18,13,0.970303245986888,0.969761498624552,0.964276601963185,0.977696171265107,0.4095,1,1,1,3,8,11,5,18,13,high,ROBUST_CORE_NOVEL,1,AGAP005763__SITE01,1,0.992134306147832,ROBUST,0.994136460554371,0.982529761904762,0.998933901918977,0.0133928571428571,AGAP005763__SITE01;AGAP005763__SITE04,0.995485839650951,0.997334754797441,0.990283289241623,1,271,AGAP005763__SITE01;AGAP005763__SITE02;AGAP005763__SITE04,0.995485839650951,0.997334754797441,0.990283289241623,1,271,0.993642496224236,HIGHLY_ROBUST,1,74,8,1,UP
AGAP009921,3R,45319129,45325330,,,,FALSE,77,11,129,65,79,64,0.845817689375799,0.998594189315839,0.969990605667044,1,TRUE,2,386,317,267,267,55,0,267,0.975979772439949,0.0240202275600506,1,50,55,0.957107843137255,26,functional_region_reference_editable_multiplex_4plus,PENDING_TARGETED_AG1000G,FALSE,NOT_EVALUATED_IN_STEP05,1,observed_positive,TARGETED_CRISPR_VALIDATION_AND_RERANKING,0.993568434744905,3,0.99219540396011,0.00257834409234156,0.990461049284579,0.995158259864142,3,0.992859758330282,0.877450980392157,0.969990605667044,1,0.969990605667044,11,0.975725610743219,9,0.964255600590869,14,11,5,11,FALSE,11,TRUE,TRUE,11.8915,12,1.76189667402631,9,15,6,0.969595920741477,0.969210146063055,0.96693380555142,0.970684347537256,0.2335,1,1,1,1,9,14,9,15,6,very_high,ROBUST_CORE_NOVEL,1,AGAP009921__SITE03,3,0.997219887879443,ROBUST,0.998400852878465,0.993785024154589,1,0.00666666666666667,AGAP009921__SITE03;AGAP009921__SITE04,1,1,1,1,55,AGAP009921__SITE03;AGAP009921__SITE04;AGAP009921__SITE05,1,1,1,1,97,0.998470938333694,HIGHLY_ROBUST,1,27,9,2,UP
AGAP002300,2R,19027548,19040586,,,,FALSE,85,12,142,88,88,56,0.846793415125774,0.971839854732896,0.969968904623847,1,TRUE,2,389,313,304,304,9,0,304,0.971241830065359,0.0287581699346405,1,50,60,0.970833333333333,18,functional_region_reference_editable_multiplex_4plus,PENDING_TARGETED_AG1000G,FALSE,NOT_EVALUATED_IN_STEP05,1,observed_positive,TARGETED_CRISPR_VALIDATION_AND_RERANKING,0.968420291949704,3,0.965939201233319,0.015724910926288,0.947897094955918,0.976730741436624,3,0.992218967411205,0.916666666666667,0.969968904623847,1,0.969968904623847,12,0.974936453434149,12,0.965001355813545,12,12,0,12,FALSE,12,TRUE,TRUE,10.795,10,3.08167541471857,7,19,12,0.970355557319323,0.97139974723116,0.959432699969995,0.97658113182431,0.657,1,1,1,-2,12,12,7,19,12,high,ROBUST_CORE_NOVEL,1,AGAP002300__SITE05,5,0.995383652934959,ROBUST,0.997867803837953,0.989732905982906,0.999466950959488,0.0125,AGAP002300__SITE04;AGAP002300__SITE05,1,1,1,1,71,AGAP002300__SITE03;AGAP002300__SITE04;AGAP002300__SITE05,1,1,1,1,72,0.997461009114227,HIGHLY_ROBUST,1,37,10,2,UP
