contig,population_id,population_site_id,n_haplotypes_total,n_haplotypes_called_23bp,callable_fraction_23bp,target_23bp_exact_match_fraction,pam_intact_fraction,protospacer_exact_match_fraction,max_target_variant_alt_af,mean_target_heterozygosity_proxy,n_variable_positions,n_variant_positions_in_panel,n_samples,primary_population_n20,sensitivity_population_n10,sensitivity_population_n30
3R,AOcol,AGAP007999__SITE01,156,156,1,0.987179487179487,1,0.987179487179487,0.0128205128205128,0.0011005345453506,7,7,78,TRUE,TRUE,TRUE
3R,BFcol,AGAP007999__SITE01,150,150,1,0.993333333333333,1,0.993333333333333,0.00666666666666667,0.000575845410628019,7,7,75,TRUE,TRUE,TRUE
3R,BFgam,AGAP007999__SITE01,184,184,1,0.972826086956522,0.994565217391304,0.978260869565217,0.0108695652173913,0.0023449700008219,7,7,92,TRUE,TRUE,TRUE
3R,CMgam,AGAP007999__SITE01,594,594,1,0.973063973063973,0.998316498316498,0.974747474747475,0.0252525252525253,0.00228656545447645,7,7,297,TRUE,TRUE,TRUE
3R,CIcol,AGAP007999__SITE01,142,142,1,0.992957746478873,0.992957746478873,1,0.00704225352112676,0.000608057407519212,7,7,71,TRUE,TRUE,TRUE
3R,FRgam,AGAP007999__SITE01,48,48,1,0.729166666666667,1,0.729166666666667,0.270833333333333,0.0171724033816425,7,7,24,TRUE,TRUE,FALSE
3R,GAgam,AGAP007999__SITE01,138,138,1,0.86231884057971,1,0.86231884057971,0.13768115942029,0.0103239180661717,7,7,69,TRUE,TRUE,TRUE
3R,GHcol,AGAP007999__SITE01,110,110,1,0.963636363636364,0.981818181818182,0.981818181818182,0.0181818181818182,0.00310456342076895,7,7,55,TRUE,TRUE,TRUE
3R,GHgam,AGAP007999__SITE01,24,24,1,1,1,1,0,0,7,7,12,FALSE,TRUE,FALSE
3R,GNgam,AGAP007999__SITE01,80,80,1,0.9625,1,0.9625,0.025,0.0031929347826087,7,7,40,TRUE,TRUE,TRUE
3R,UGgam,AGAP007999__SITE01,224,224,1,0.915178571428571,1,0.915178571428571,0.0848214285714286,0.00675015250665484,7,7,112,TRUE,TRUE,TRUE
3R,AOcol,AGAP007999__SITE02,156,156,1,1,1,1,0,0,6,6,78,TRUE,TRUE,TRUE
3R,BFcol,AGAP007999__SITE02,150,150,1,0.993333333333333,1,0.993333333333333,0.00666666666666667,0.000575845410628019,6,6,75,TRUE,TRUE,TRUE
3R,BFgam,AGAP007999__SITE02,184,184,1,0.994565217391304,1,0.994565217391304,0.00543478260869565,0.000470021369277554,6,6,92,TRUE,TRUE,TRUE
3R,CMgam,AGAP007999__SITE02,594,594,1,0.986531986531987,0.998316498316498,0.988215488215488,0.00673400673400673,0.00116570970033128,6,6,297,TRUE,TRUE,TRUE
3R,CIcol,AGAP007999__SITE02,142,142,1,1,1,1,0,0,6,6,71,TRUE,TRUE,TRUE
3R,FRgam,AGAP007999__SITE02,48,48,1,1,1,1,0,0,6,6,24,TRUE,TRUE,FALSE
3R,GAgam,AGAP007999__SITE02,138,138,1,1,1,1,0,0,6,6,69,TRUE,TRUE,TRUE
3R,GHcol,AGAP007999__SITE02,110,110,1,1,1,1,0,0,6,6,55,TRUE,TRUE,TRUE
3R,GHgam,AGAP007999__SITE02,24,24,1,1,1,1,0,0,6,6,12,FALSE,TRUE,FALSE
3R,GNgam,AGAP007999__SITE02,80,80,1,1,1,1,0,0,6,6,40,TRUE,TRUE,TRUE
3R,UGgam,AGAP007999__SITE02,224,224,1,0.991071428571429,1,0.991071428571429,0.00892857142857143,0.000769465394853594,6,6,112,TRUE,TRUE,TRUE
3R,AOcol,AGAP007999__SITE03,156,156,1,1,1,1,0,0,5,5,78,TRUE,TRUE,TRUE
3R,BFcol,AGAP007999__SITE03,150,150,1,0.993333333333333,1,0.993333333333333,0.00666666666666667,0.000575845410628019,5,5,75,TRUE,TRUE,TRUE
3R,BFgam,AGAP007999__SITE03,184,184,1,0.994565217391304,1,0.994565217391304,0.00543478260869565,0.000470021369277554,5,5,92,TRUE,TRUE,TRUE
3R,CMgam,AGAP007999__SITE03,594,594,1,0.988215488215488,1,0.988215488215488,0.00673400673400673,0.00101956469984577,5,5,297,TRUE,TRUE,TRUE
3R,CIcol,AGAP007999__SITE03,142,142,1,1,1,1,0,0,5,5,71,TRUE,TRUE,TRUE
3R,FRgam,AGAP007999__SITE03,48,48,1,1,1,1,0,0,5,5,24,TRUE,TRUE,FALSE
3R,GAgam,AGAP007999__SITE03,138,138,1,1,1,1,0,0,5,5,69,TRUE,TRUE,TRUE
