gene_id,final_prepopulation_rank,population_filtered_prepopulation_rank,population_deployment_class,gene_population_robustness_score,best_single_site_id,n_locked_sites,n_sites_meeting_external_n,n_sites_confirmed_observed,n_sites_confirmed_strict,proportion_sites_confirmed_observed,all_locked_sites_confirmed_observed,all_locked_sites_taxon_balanced,best_single_ag3_confirmed,best_single_ag3_confirmed_strict,ag3_external_validation_used_for_reranking
AGAP007999,1,1,HIGHLY_ROBUST,0.99690381385072,AGAP007999__SITE03,3,3,2,2,0.666666666666667,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP005917,2,2,HIGHLY_ROBUST,0.999316381057674,AGAP005917__SITE02,3,3,1,1,0.333333333333333,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP011966,3,3,HIGHLY_ROBUST,0.996064876880478,AGAP011966__SITE04,3,3,1,0,0.333333333333333,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP004825,5,4,HIGHLY_ROBUST,0.993985052416489,AGAP004825__SITE05,4,4,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP003595,6,5,HIGHLY_ROBUST,0.994825329067653,AGAP003595__SITE04,3,3,1,1,0.333333333333333,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP007413,7,6,HIGHLY_ROBUST,0.994835593963413,AGAP007413__SITE03,3,3,1,1,0.333333333333333,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP009600,8,7,HIGHLY_ROBUST,0.99683425310044,AGAP009600__SITE02,4,4,1,0,0.25,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP005763,9,8,HIGHLY_ROBUST,0.993642496224236,AGAP005763__SITE01,3,3,1,1,0.333333333333333,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP009921,11,9,HIGHLY_ROBUST,0.998470938333694,AGAP009921__SITE03,3,3,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP002300,12,10,HIGHLY_ROBUST,0.997461009114227,AGAP002300__SITE05,3,3,2,1,0.666666666666667,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP004038,13,11,HIGHLY_ROBUST,0.994532671215454,AGAP004038__SITE01,3,3,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
AGAP002004,15,12,HIGHLY_ROBUST,0.997112238485814,AGAP002004__SITE02,3,3,1,1,0.333333333333333,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP009488,16,13,HIGHLY_ROBUST,0.998680310204212,AGAP009488__SITE02,4,4,4,1,1,TRUE,FALSE,TRUE,TRUE,FALSE
AGAP005127,17,14,HIGHLY_ROBUST,0.996812342295898,AGAP005127__SITE05,4,4,3,1,0.75,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP010711,18,15,HIGHLY_ROBUST,0.994932987307054,AGAP010711__SITE01,4,4,4,1,1,TRUE,FALSE,TRUE,TRUE,FALSE
AGAP005321,19,16,HIGHLY_ROBUST,0.993156767720752,AGAP005321__SITE01,3,3,2,0,0.666666666666667,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP001099,20,17,HIGHLY_ROBUST,1,AGAP001099__SITE04,3,3,3,2,1,TRUE,TRUE,TRUE,TRUE,FALSE
AGAP004957,22,18,HIGHLY_ROBUST,0.996757063640132,AGAP004957__SITE05,4,4,4,2,1,TRUE,FALSE,TRUE,TRUE,FALSE
AGAP010175,23,19,HIGHLY_ROBUST,0.997536383976855,AGAP010175__SITE04,3,3,3,2,1,TRUE,TRUE,TRUE,FALSE,FALSE
AGAP007280,24,20,HIGHLY_ROBUST,0.996966072961365,AGAP007280__SITE05,5,5,1,0,0.2,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP001135,25,21,HIGHLY_ROBUST,0.997467157272535,AGAP001135__SITE01,4,4,2,0,0.5,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP009048,26,22,HIGHLY_ROBUST,0.993641708126036,AGAP009048__SITE04,3,3,2,0,0.666666666666667,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP010313,27,23,HIGHLY_ROBUST,0.999408973650267,AGAP010313__SITE04,4,4,4,4,1,TRUE,TRUE,TRUE,TRUE,FALSE
AGAP001015,29,24,HIGHLY_ROBUST,0.999191610558158,AGAP001015__SITE05,5,5,4,2,0.8,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP010219,30,25,HIGHLY_ROBUST,0.999658190528837,AGAP010219__SITE05,5,5,4,3,0.8,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP008191,31,26,HIGHLY_ROBUST,0.994689604933908,AGAP008191__SITE02,3,3,1,0,0.333333333333333,FALSE,FALSE,TRUE,FALSE,FALSE
AGAP005871,32,27,HIGHLY_ROBUST,0.998867798687721,AGAP005871__SITE01,3,3,1,1,0.333333333333333,FALSE,FALSE,TRUE,TRUE,FALSE
AGAP008015,33,28,HIGHLY_ROBUST,0.997097674203388,AGAP008015__SITE04,3,3,1,0,0.333333333333333,FALSE,FALSE,TRUE,FALSE,FALSE
